Accident,Log_Mile,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Intensity,Precip_Intensity_Max,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type
1,4.313,10,28.48,46.71,22.43,8.15,0.42,1,3,6,0.49,0,0,0,1,0,0,0,0,2,4,0,2,4,4,21,1,14,24,15
1,5.016,11,32.43,46.66,22.47,7.37,0.34,1,3,5.99,0.5,0,0,1,0,0,0,0,0,2,4,2,2,6,8,2,1,11,36,18
1,0.111,11,32.31,46.89,22.74,6.08,0.32,1,3,5.76,0.51,0,0,1,0,0,0,0,0,2,7,0,2,2,2,18,4,17,29,15
1,4.131,11,31.4,46.61,22.57,6.31,0.34,1,3,6.97,0.52,0,0,1,0,0,0,0,0,2,2,0,2,4,4,16,4,14,24,15
1,0.283,11,32.46,46.68,22.51,7.38,0.34,1,3,6.02,0.5,0,0,1,0,0,0,0,0,2,2,0,2,2,2,12,4,19,30,15
1,0.158,12,36.33,46.85,22.68,7.1,0.29,1,3,6.32,0.51,0,0,1,0,0,0,0,0,2,0,0,2,2,2,12,4,19,22,15
1,4.222,12,36.38,46.72,22.52,8.75,0.31,1,3,6.12,0.5,0,0,1,0,0,0,0,0,2,7,2,2,6,6,2,1,11,36,18
1,5.571,12,35.76,46.19,21.77,8.75,0.32,1,3,6.39,0.5,0,0,1,0,0,0,0,0,2,0,0,2,2,2,18,4,16,22,15
1,0.039,13,39.95,46.76,22.61,11.12,0.3,1,3,5.98,0.5,0,0,0,1,0,0,0,0,2,2,0,2,1,1,12,4,19,10,15
1,20.738,13,39.61,46.29,21.85,12.07,0.32,1,3,6.49,0.5,0,0,0,1,0,0,0,0,2,2,0,2,5,5,21,1,16,24,15
1,0.001,14,42.45,46.49,22.39,13.98,0.31,1,3,6.32,0.52,0,0,0,1,0,0,0,0,2,4,0,2,2,2,18,4,17,20,15
1,9.403,14,42.41,46.55,22.61,13.71,0.31,1,3,7.01,0.52,0,0,0,1,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15
1,0.754,14,42.71,46.73,22.58,14.58,0.32,1,3,5.52,0.51,0,0,0,1,0,0,0,0,2,2,0,2,3,3,18,4,17,36,15
1,16.365,14,41.93,46.36,21.65,12.78,0.3,1,3,10,0.53,0,0,0,1,0,0,0,0,2,0,2,2,4,4,13,1,12,24,15
1,15.619,14,41.94,46.33,21.67,12.83,0.3,1,3,10,0.53,0,0,0,1,0,0,0,0,2,0,2,2,4,4,13,1,12,24,15
1,8.07,14,42.6,46.7,22.66,13.78,0.31,1,3,7.08,0.52,0,0,0,1,0,0,0,0,2,2,0,2,5,5,13,1,14,36,15
1,8.708,15,45,46.08,21.69,17.55,0.33,1,3,6.69,0.49,0,0,1,0,0,0,0,0,2,5,0,2,2,2,13,1,14,12,15
1,11.383,15,45.56,46.11,21.97,17.79,0.33,1,3,6.29,0.51,0,0,1,0,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18
1,1.498,15,43.57,45.46,19.41,15.15,0.31,1,3,10,0.55,0,0,1,0,0,0,0,0,2,0,0,2,2,2,3,1,2,22,15
1,10.844,15,45.59,46.14,22,17.78,0.32,1,3,6.3,0.51,0,0,1,0,0,0,0,0,2,2,2,2,6,6,2,1,11,36,15
1,10.284,15,46.12,46.66,22.52,17.77,0.32,1,3,6.31,0.51,0,0,1,0,0,0,0,0,2,2,2,2,6,8,2,1,11,36,15
1,0.106,16,46.41,46.43,22.25,17.68,0.31,1,3,6.22,0.5,0,0,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,24,15
1,6.326,16,46.69,46.89,22.74,17.58,0.31,1,3,6.38,0.51,0,0,0,1,0,0,0,0,2,5,0,2,4,4,16,4,14,24,15
1,0.073,16,46.7,46.89,22.72,17.58,0.31,1,3,6.28,0.51,0,0,0,1,0,0,0,0,2,5,0,2,2,2,12,4,19,24,15
1,0.404,16,46.7,46.7,22.72,17.63,0.31,1,3,6.11,0.48,0,0,0,1,0,0,0,0,2,4,0,2,2,2,12,4,19,30,15
1,0.751,16,46.61,46.8,22.63,17.59,0.31,1,3,6.26,0.51,0,0,0,1,0,0,0,0,2,2,0,2,4,4,18,4,16,48,15
1,0.001,16,46.76,46.79,22.6,17.71,0.31,1,3,6.19,0.5,0,0,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,32,15
1,0.507,17,46.29,46.29,21.84,17.8,0.32,1,3,6.94,0.5,0,0,0,1,0,0,0,0,2,2,0,2,2,2,18,2,17,24,15
1,0.566,17,45.93,46.08,21.57,18.22,0.33,1,3,5.87,0.47,0,0,0,1,0,0,0,0,2,0,0,2,2,2,11,2,19,18,15
1,3.296,17,46.37,46.37,22.5,17.95,0.32,1,3,7.43,0.52,0,0,0,1,0,0,0,0,2,0,0,2,2,2,18,2,16,20,15
1,0.039,17,46.76,46.76,22.61,18.49,0.32,1,3,6.23,0.5,0,0,0,1,0,0,0,0,2,2,0,2,1,1,12,4,19,10,15
1,0.067,17,46.59,46.65,22.47,18.34,0.32,1,3,6.13,0.5,0,0,0,1,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15
1,0.119,17,46.62,46.62,22.5,18.35,0.32,1,3,6.72,0.51,0,0,0,1,0,0,0,0,2,2,0,2,2,2,12,4,19,18,15
1,0.201,18,44.21,46.38,22.27,18.63,0.35,1,3,6.82,0.52,0,0,0,1,0,0,0,0,2,7,0,2,2,2,18,4,17,25,15
1,0.068,18,44.23,46.39,22.29,18.63,0.35,1,3,6.81,0.52,0,0,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,26,15
1,0.201,18,44.21,46.38,22.27,18.63,0.35,1,3,6.82,0.52,0,0,0,1,0,0,0,0,2,7,0,2,2,2,18,4,17,25,15
1,0.566,18,44.01,46.08,21.57,18.98,0.36,1,3,5.87,0.47,0,0,0,1,0,0,0,0,2,0,0,2,2,2,11,2,19,18,15
1,9.96,18,44.11,46.33,22.59,18.55,0.35,1,3,7.06,0.52,0,0,0,1,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15
1,0.444,18,44.01,46.24,22.5,18.55,0.36,1,3,7.06,0.52,0,0,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,18,15
1,20.781,18,44.29,46.29,21.85,18.82,0.36,1,3,6.89,0.5,0,0,0,1,0,0,0,0,2,2,0,2,5,5,21,1,16,24,15
1,20.756,18,44.29,46.29,21.85,18.81,0.36,1,3,6.89,0.5,0,0,0,1,0,0,0,0,2,2,0,2,5,5,21,1,16,24,15
1,20.738,18,44.29,46.29,21.85,18.81,0.36,1,3,6.9,0.5,0,0,0,1,0,0,0,0,2,2,0,2,5,5,21,1,16,24,15
1,20.454,18,36.01,41.91,18.18,21.1,0.54,1,3,7.09,0.56,0,0,0,1,0,0,0,0,2,7,0,2,2,2,21,1,16,24,15
1,20.781,18,44.29,46.29,21.85,18.82,0.36,1,3,6.89,0.5,0,0,0,1,0,0,0,0,2,2,0,2,5,5,21,1,16,24,15
1,2.22,18,44.1,46.33,22.6,18.56,0.36,1,3,7.03,0.52,0,0,0,1,0,0,0,0,2,2,0,2,2,2,18,4,16,12,15
1,4.085,19,41.51,46.78,22.87,20.88,0.43,1,3,3.48,0.5,0,0,0,1,0,0,0,0,2,0,2,2,4,5,2,1,11,24,15
1,3.936,19,41.07,46.37,22.45,20.87,0.44,1,3,3.47,0.5,0,0,0,1,0,0,0,0,3,2,0,2,4,4,21,1,16,42,15
1,5.571,19,38.91,46.19,21.77,20.86,0.48,1,3,6.39,0.5,0,0,0,1,0,0,0,0,2,0,0,2,2,2,18,4,16,22,15
1,0.488,20,38.02,46.23,21.46,21.25,0.5,1,3,10,0.53,0,0,0,1,0,0,0,0,2,4,0,2,2,2,18,4,16,24,15
1,0.714,20,37.91,46.14,21.36,21.26,0.51,1,3,10,0.53,0,0,0,1,0,0,0,0,2,4,0,2,2,2,18,4,16,24,15
1,0.488,20,38.02,46.23,21.46,21.25,0.5,1,3,10,0.53,0,0,0,1,0,0,0,0,2,4,0,2,2,2,18,4,16,24,15
1,6.627,20,39.58,46.38,22.28,20.85,0.47,1,3,6.4,0.52,0,0,0,1,0,0,0,0,2,4,0,2,5,5,13,1,14,24,15
1,6.302,20,39.66,46.41,22.31,20.86,0.47,1,3,6.4,0.52,0,0,0,1,0,0,0,0,2,2,0,2,6,6,13,1,14,33,15
0,1.265,18,44.5,46.63,22.42,19,0.36,1,3,6.12,0.5,0,0,0,1,0,0,0,0,2,7,0,2,2,2,21,1,14,24,15
0,1.32,19,40.57,46.88,22.62,21.06,0.45,1,3,6.13,0.5,0,0,0,1,0,0,0,0,1,0,2,2,4,4,2,1,11,24,15
0,0.62,6,23.81,46.87,22.58,8.75,0.52,1,3,5.84,0.49,0,0,0,1,0,0,0,0,1,2,2,2,6,7,2,1,11,36,15
0,0.62,4,24.76,46.87,22.58,9.55,0.52,1,3,6.09,0.49,0,0,0,1,0,0,0,0,1,2,2,2,6,7,2,1,11,36,15
0,0.036,6,24.19,46.79,22.88,8.39,0.5,1,3,2.68,0.5,0,0,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,18,15
0,0.616,1,24.24,46.77,22.52,10.96,0.56,1,3,6.13,0.5,0,0,1,0,0,0,0,0,2,2,0,2,2,2,21,1,14,24,15
0,2.603,5,23.53,45.82,21.62,6.17,0.47,1,3,10,0.53,0,0,0,1,0,0,0,0,2,7,0,2,2,2,11,2,19,18,15
0,2.66,20,37.42,45.8,21.61,21.53,0.52,1,3,10,0.53,0,0,0,1,0,0,0,0,2,7,0,2,2,2,11,2,19,18,15
0,6.149,3,24.97,46.25,21.82,9.49,0.51,1,3,6.41,0.5,0,0,0,1,0,0,0,0,2,2,0,2,4,4,18,4,16,24,15
0,1.222,13,36.55,43.27,19.33,10.86,0.34,1,3,2.9,0.5,0,0,0,1,0,0,0,0,2,7,0,2,2,2,21,1,16,22,15
0,3.198,21,38.18,46.66,22.44,22.72,0.53,1,3,5.92,0.49,0,0,0,1,0,0,0,0,2,2,2,2,6,7,2,1,11,48,18
0,0.896,10,28.06,46.42,22.55,7.03,0.4,1,3,2.85,0.5,0,0,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15
0,0.223,22,37.27,46.84,22.69,21.86,0.53,1,3,6.36,0.51,0,0,0,1,0,0,0,0,2,2,0,2,3,4,18,4,16,36,15
0,0.072,20,41.04,46.81,22.66,21.07,0.44,1,3,6.37,0.51,0,0,0,1,0,0,0,0,2,2,0,1,2,2,18,4,17,24,15
0,12.555,8,22.37,46.55,22.37,9.03,0.56,1,3,3.77,0.5,0,0,1,0,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18
0,0.035,16,46.67,46.73,22.82,17.47,0.31,1,3,3.45,0.5,0,0,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,20,15
0,4.313,20,39.91,46.71,22.43,21.42,0.47,1,3,5.99,0.49,0,0,0,1,0,0,0,0,2,4,0,2,4,4,21,1,14,24,15
0,5.016,9,24.61,46.66,22.47,8.34,0.49,1,3,5.99,0.5,0,0,1,0,0,0,0,0,2,4,2,2,6,8,2,1,11,36,18
0,0.111,17,46.89,46.89,22.74,18.38,0.32,1,3,6.37,0.51,0,0,0,1,0,0,0,0,2,7,0,2,2,2,18,4,17,29,15
0,4.131,18,44.53,46.61,22.57,18.59,0.35,1,3,7.11,0.52,0,0,0,1,0,0,0,0,2,2,0,2,4,4,16,4,14,24,15
0,0.283,9,24.65,46.68,22.51,8.34,0.49,1,3,6.02,0.5,0,0,1,0,0,0,0,0,2,2,0,2,2,2,12,4,19,30,15
0,0.158,12,36.33,46.85,22.68,7.1,0.29,1,3,6.32,0.51,0,0,1,0,0,0,0,0,2,0,0,2,2,2,12,4,19,22,15
0,4.222,11,32.47,46.72,22.52,7.35,0.34,1,3,5.96,0.5,0,0,1,0,0,0,0,0,2,7,2,2,6,6,2,1,11,36,18
0,5.571,14,42.44,46.19,21.77,14.77,0.32,1,3,6.93,0.5,0,0,0,1,0,0,0,0,2,0,0,2,2,2,18,4,16,22,15
0,0.039,16,46.7,46.76,22.61,17.76,0.31,1,3,6.23,0.5,0,0,0,1,0,0,0,0,2,2,0,2,1,1,12,4,19,10,15
0,20.738,17,46.29,46.29,21.85,17.8,0.32,1,3,6.9,0.5,0,0,0,1,0,0,0,0,2,2,0,2,5,5,21,1,16,24,15
0,0.001,11,31.95,46.49,22.39,6.33,0.33,1,3,6.06,0.52,0,0,1,0,0,0,0,0,2,4,0,2,2,2,18,4,17,20,15
0,9.403,11,31.35,46.55,22.61,6.38,0.34,1,3,6.85,0.52,0,0,1,0,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15
0,0.754,3,25.24,46.73,22.58,9.9,0.51,1,3,6.39,0.51,0,0,0,1,0,0,0,0,2,2,0,2,3,3,18,4,17,36,15
0,16.365,23,35.77,46.36,21.65,23.52,0.61,1,3,10,0.53,0,0,0,1,0,0,0,0,2,0,2,2,4,4,13,1,12,24,15
0,15.619,1,22.34,46.33,21.67,9.21,0.56,1,3,10,0.53,0,0,0,1,0,0,0,0,2,0,2,2,4,4,13,1,12,24,15
0,8.07,0,23.72,36.59,21.21,12,0.6,1,3,7.08,0.23,0,0,1,0,0,0,0,0,2,2,0,2,5,5,13,1,14,36,15
0,8.708,18,44.12,46.08,21.69,18.88,0.36,1,3,6.69,0.49,0,0,0,1,0,0,0,0,2,5,0,2,2,2,13,1,14,12,15
0,11.383,8,21.97,46.11,21.97,8.94,0.57,1,3,3.64,0.51,0,0,1,0,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18
0,1.498,14,40.48,45.46,19.41,12.73,0.32,1,3,10,0.55,0,0,1,0,0,0,0,0,2,0,0,2,2,2,3,1,2,22,15
0,10.844,4,24.11,46.14,22,9.1,0.52,1,3,6.3,0.51,0,0,0,1,0,0,0,0,2,2,2,2,6,6,2,1,11,36,15
0,10.284,13,40.03,46.66,22.52,11.1,0.3,1,3,5.67,0.51,0,0,0,1,0,0,0,0,2,2,2,2,6,8,2,1,11,36,15
0,0.106,15,45.86,46.43,22.25,17.78,0.32,1,3,6.22,0.5,0,0,1,0,0,0,0,0,2,0,0,2,2,2,12,4,19,24,15
0,6.326,12,36.29,46.89,22.74,7.07,0.29,1,3,6.38,0.51,0,0,1,0,0,0,0,0,2,5,0,2,4,4,16,4,14,24,15
0,0.073,10,28.67,46.89,22.72,7.34,0.4,1,3,5.66,0.51,0,0,0,1,0,0,0,0,2,5,0,2,2,2,12,4,19,24,15
0,0.404,17,46.61,46.7,22.72,18.42,0.32,1,3,6.11,0.48,0,0,0,1,0,0,0,0,2,4,0,2,2,2,12,4,19,30,15
0,0.751,3,25.4,46.8,22.63,9.64,0.51,1,3,6.26,0.51,0,0,0,1,0,0,0,0,2,2,0,2,4,4,18,4,16,48,15
0,0.001,4,24.72,46.79,22.6,9.16,0.51,1,3,6.19,0.5,0,0,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,32,15
0,0.507,7,22.73,46.29,21.84,9.67,0.57,1,3,6.52,0.5,0,0,0,1,0,0,0,0,2,2,0,2,2,2,18,2,17,24,15
0,0.566,7,22.38,46.08,21.57,10.02,0.58,1,3,6.24,0.47,0,0,0,1,0,0,0,0,2,0,0,2,2,2,11,2,19,18,15
0,3.296,7,22.53,46.37,22.5,7.87,0.53,1,3,7.29,0.52,0,0,0,1,0,0,0,0,2,0,0,2,2,2,18,2,16,20,15
0,0.039,5,24.82,46.76,22.61,7.09,0.46,1,3,5.98,0.5,0,0,0,1,0,0,0,0,2,2,0,2,1,1,12,4,19,10,15
0,0.067,17,46.59,46.65,22.47,18.34,0.32,1,3,6.13,0.5,0,0,0,1,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15
0,0.119,2,25.14,46.62,22.5,11.65,0.56,1,3,6.72,0.51,0,0,0,1,0,0,0,0,2,2,0,2,2,2,12,4,19,18,15
0,0.201,2,24.97,46.38,22.27,11.56,0.56,1,3,6.82,0.52,0,0,0,1,0,0,0,0,2,7,0,2,2,2,18,4,17,25,15
0,0.068,19,40.45,46.39,22.29,21.03,0.45,1,3,6.81,0.52,0,0,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,26,15
0,0.201,7,22.47,46.38,22.27,8.05,0.53,1,3,6.82,0.52,0,0,0,1,0,0,0,0,2,7,0,2,2,2,18,4,17,25,15
0,0.566,2,24.75,46.08,21.57,11.36,0.56,1,3,5.87,0.47,0,0,0,1,0,0,0,0,2,0,0,2,2,2,11,2,19,18,15
0,9.96,21,38.58,46.33,22.59,23.6,0.54,1,3,7.06,0.52,0,0,0,1,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15
0,0.444,10,26.54,46.24,22.5,7.69,0.44,1,3,6.92,0.52,0,0,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,18,15
0,20.781,11,32.18,46.29,21.85,7.94,0.35,1,3,6.49,0.5,0,0,0,1,0,0,0,0,2,2,0,2,5,5,21,1,16,24,15
0,20.756,20,37.62,46.29,21.85,20.87,0.5,1,3,6.39,0.5,0,0,0,1,0,0,0,0,2,2,0,2,5,5,21,1,16,24,15
0,20.738,2,25.01,46.29,21.85,11.11,0.55,1,3,6.39,0.5,0,0,0,1,0,0,0,0,2,2,0,2,5,5,21,1,16,24,15
0,20.454,18,36.01,41.91,18.18,21.1,0.54,1,3,7.09,0.56,0,0,0,1,0,0,0,0,2,7,0,2,2,2,21,1,16,24,15
0,20.781,7,22.74,46.29,21.85,9.67,0.57,1,3,6.49,0.5,0,0,0,1,0,0,0,0,2,2,0,2,5,5,21,1,16,24,15
0,2.22,5,24.67,46.33,22.6,5.88,0.44,1,3,7.03,0.52,0,0,0,1,0,0,0,0,2,2,0,2,2,2,18,4,16,12,15
0,4.085,5,25.08,46.78,22.87,7.64,0.47,1,3,2.67,0.5,0,0,0,1,0,0,0,0,2,0,2,2,4,5,2,1,11,24,15
0,3.936,3,25.1,46.37,22.45,10.29,0.53,1,3,3.47,0.5,0,0,0,1,0,0,0,0,3,2,0,2,4,4,21,1,16,42,15
0,5.571,2,24.93,46.19,21.77,11.13,0.55,1,3,6.39,0.5,0,0,0,1,0,0,0,0,2,0,0,2,2,2,18,4,16,22,15
0,0.488,11,30.2,46.23,21.46,6.31,0.36,1,3,10,0.53,0,0,0,1,0,0,0,0,2,4,0,2,2,2,18,4,16,24,15
0,0.714,1,21.86,46.14,21.36,9.03,0.57,1,3,10,0.53,0,0,0,1,0,0,0,0,2,4,0,2,2,2,18,4,16,24,15
0,0.488,4,23.56,46.23,21.46,5.46,0.45,1,3,10,0.53,0,0,0,1,0,0,0,0,2,4,0,2,2,2,18,4,16,24,15
0,6.627,8,22.28,46.38,22.28,8.53,0.55,1,3,6.44,0.52,0,0,1,0,0,0,0,0,2,4,0,2,5,5,13,1,14,24,15
0,6.302,8,22.31,46.41,22.31,8.53,0.55,1,3,6.41,0.52,0,0,1,0,0,0,0,0,2,2,0,2,6,6,13,1,14,33,15
