Grid_Num,Join_Count,GRID_ID,coords,X,Y,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Center_Lat,Center_Long
121,7,J-24,"-85.39699636843727, 35.021313129351654, -85.39944695001367, 35.01706859755325, -85.40434811316652, 35.01706859755325, -85.40679869474286, 35.021313129351654, -85.40434811316652, 35.02555766115, -85.39944695001367, 35.02555766115, -85.39699636843727, 35.021313129351654","-85.39699636843727, -85.39944695001367, -85.40434811316652, -85.40679869474286, -85.40434811316652, -85.39944695001367, -85.39699636843727","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,19,35.02131313,-85.40189753
122,2,K-24,"-85.38964462370808, 35.01706859755325, -85.39209520528453, 35.01282406575484, -85.39699636843727, 35.01282406575484, -85.39944695001367, 35.01706859755325, -85.39699636843727, 35.021313129351654, -85.39209520528453, 35.021313129351654, -85.38964462370808, 35.01706859755325","-85.38964462370808, -85.39209520528453, -85.39699636843727, -85.39944695001367, -85.39699636843727, -85.39209520528453, -85.38964462370808","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,19,35.0170686,-85.39454579
123,53,L-24,"-85.38229287897894, 35.021313129351654, -85.38474346055534, 35.01706859755325, -85.38964462370808, 35.01706859755325, -85.39209520528453, 35.021313129351654, -85.38964462370808, 35.02555766115, -85.38474346055534, 35.02555766115, -85.38229287897894, 35.021313129351654","-85.38229287897894, -85.38474346055534, -85.38964462370808, -85.39209520528453, -85.38964462370808, -85.38474346055534, -85.38229287897894","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,16,35.02131313,-85.38719404
124,360,M-24,"-85.37494113424975, 35.01706859755325, -85.37739171582609, 35.01282406575484, -85.38229287897894, 35.01282406575484, -85.38474346055534, 35.01706859755325, -85.38229287897894, 35.021313129351654, -85.37739171582609, 35.021313129351654, -85.37494113424975, 35.01706859755325","-85.37494113424975, -85.37739171582609, -85.38229287897894, -85.38474346055534, -85.38229287897894, -85.37739171582609, -85.37494113424975","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",4,2,16,35.0170686,-85.3798423
125,60,N-24,"-85.3675893895205, 35.021313129351654, -85.37003997109684, 35.01706859755325, -85.37494113424975, 35.01706859755325, -85.37739171582609, 35.021313129351654, -85.37494113424975, 35.02555766115, -85.37003997109684, 35.02555766115, -85.3675893895205, 35.021313129351654","-85.3675893895205, -85.37003997109684, -85.37494113424975, -85.37739171582609, -85.37494113424975, -85.37003997109684, -85.3675893895205","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,19,35.02131313,-85.37249055
126,87,O-24,"-85.36023764479137, 35.01706859755325, -85.36268822636777, 35.01282406575484, -85.3675893895205, 35.01282406575484, -85.37003997109684, 35.01706859755325, -85.3675893895205, 35.021313129351654, -85.36268822636777, 35.021313129351654, -85.36023764479137, 35.01706859755325","-85.36023764479137, -85.36268822636777, -85.3675893895205, -85.37003997109684, -85.3675893895205, -85.36268822636777, -85.36023764479137","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,16,35.0170686,-85.36513881
127,24,P-24,"-85.35288590006218, 35.021313129351654, -85.35533648163857, 35.01706859755325, -85.36023764479137, 35.01706859755325, -85.36268822636777, 35.021313129351654, -85.36023764479137, 35.02555766115, -85.35533648163857, 35.02555766115, -85.35288590006218, 35.021313129351654","-85.35288590006218, -85.35533648163857, -85.36023764479137, -85.36268822636777, -85.36023764479137, -85.35533648163857, -85.35288590006218","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,16,35.02131313,-85.35778706
128,45,Q-24,"-85.34553415533298, 35.01706859755325, -85.34798473690932, 35.01282406575484, -85.35288590006218, 35.01282406575484, -85.35533648163857, 35.01706859755325, -85.35288590006218, 35.021313129351654, -85.34798473690932, 35.021313129351654, -85.34553415533298, 35.01706859755325","-85.34553415533298, -85.34798473690932, -85.35288590006218, -85.35533648163857, -85.35288590006218, -85.34798473690932, -85.34553415533298","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,3,16,35.0170686,-85.35043532
129,94,R-24,"-85.33818241060374, 35.021313129351654, -85.34063299218019, 35.01706859755325, -85.34553415533298, 35.01706859755325, -85.34798473690932, 35.021313129351654, -85.34553415533298, 35.02555766115, -85.34063299218019, 35.02555766115, -85.33818241060374, 35.021313129351654","-85.33818241060374, -85.34063299218019, -85.34553415533298, -85.34798473690932, -85.34553415533298, -85.34063299218019, -85.33818241060374","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,3,16,35.02131313,-85.34308357
130,153,S-24,"-85.3308306658746, 35.01706859755325, -85.333281247451, 35.01282406575484, -85.33818241060374, 35.01282406575484, -85.34063299218019, 35.01706859755325, -85.33818241060374, 35.021313129351654, -85.333281247451, 35.021313129351654, -85.3308306658746, 35.01706859755325","-85.3308306658746, -85.333281247451, -85.33818241060374, -85.34063299218019, -85.33818241060374, -85.333281247451, -85.3308306658746","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",4,2,19,35.0170686,-85.33573183
131,31,T-24,"-85.32347892114541, 35.021313129351654, -85.32592950272175, 35.01706859755325, -85.3308306658746, 35.01706859755325, -85.333281247451, 35.021313129351654, -85.3308306658746, 35.02555766115, -85.32592950272175, 35.02555766115, -85.32347892114541, 35.021313129351654","-85.32347892114541, -85.32592950272175, -85.3308306658746, -85.333281247451, -85.3308306658746, -85.32592950272175, -85.32347892114541","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",5,2,11,35.02131313,-85.32838008
132,207,U-24,"-85.31612717641616, 35.01706859755325, -85.31857775799256, 35.01282406575484, -85.32347892114541, 35.01282406575484, -85.32592950272175, 35.01706859755325, -85.32347892114541, 35.021313129351654, -85.31857775799256, 35.021313129351654, -85.31612717641616, 35.01706859755325","-85.31612717641616, -85.31857775799256, -85.32347892114541, -85.32592950272175, -85.32347892114541, -85.31857775799256, -85.31612717641616","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,19,35.0170686,-85.32102834
133,36,V-24,"-85.30877543168691, 35.021313129351654, -85.31122601326342, 35.01706859755325, -85.31612717641616, 35.01706859755325, -85.31857775799256, 35.021313129351654, -85.31612717641616, 35.02555766115, -85.31122601326342, 35.02555766115, -85.30877543168691, 35.021313129351654","-85.30877543168691, -85.31122601326342, -85.31612717641616, -85.31857775799256, -85.31612717641616, -85.31122601326342, -85.30877543168691","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,19,35.02131313,-85.31367659
134,4,W-24,"-85.30142368695783, 35.01706859755325, -85.30387426853423, 35.01282406575484, -85.30877543168691, 35.01282406575484, -85.31122601326342, 35.01706859755325, -85.30877543168691, 35.021313129351654, -85.30387426853423, 35.021313129351654, -85.30142368695783, 35.01706859755325","-85.30142368695783, -85.30387426853423, -85.30877543168691, -85.31122601326342, -85.30877543168691, -85.30387426853423, -85.30142368695783","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,19,35.0170686,-85.30632485
135,535,X-24,"-85.29407194222858, 35.021313129351654, -85.29652252380498, 35.01706859755325, -85.30142368695783, 35.01706859755325, -85.30387426853417, 35.021313129351654, -85.30142368695783, 35.02555766115, -85.29652252380498, 35.02555766115, -85.29407194222858, 35.021313129351654","-85.29407194222858, -85.29652252380498, -85.30142368695783, -85.30387426853417, -85.30142368695783, -85.29652252380498, -85.29407194222858","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,19,35.02131313,-85.29897311
136,467,Y-24,"-85.28672019749939, 35.01706859755325, -85.28917077907573, 35.01282406575484, -85.29407194222858, 35.01282406575484, -85.29652252380498, 35.01706859755325, -85.29407194222858, 35.021313129351654, -85.28917077907573, 35.021313129351654, -85.28672019749939, 35.01706859755325","-85.28672019749939, -85.28917077907573, -85.29407194222858, -85.29652252380498, -85.29407194222858, -85.28917077907573, -85.28672019749939","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,14,35.0170686,-85.29162136
137,256,Z-24,"-85.27936845277014, 35.021313129351654, -85.28181903434665, 35.01706859755325, -85.28672019749939, 35.01706859755325, -85.28917077907573, 35.021313129351654, -85.28672019749939, 35.02555766115, -85.28181903434665, 35.02555766115, -85.27936845277014, 35.021313129351654","-85.27936845277014, -85.28181903434665, -85.28672019749939, -85.28917077907573, -85.28672019749939, -85.28181903434665, -85.27936845277014","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,19,35.02131313,-85.28426962
138,882,AA-24,"-85.27201670804106, 35.01706859755325, -85.2744672896174, 35.01282406575484, -85.27936845277014, 35.01282406575484, -85.28181903434665, 35.01706859755325, -85.27936845277014, 35.021313129351654, -85.2744672896174, 35.021313129351654, -85.27201670804106, 35.01706859755325","-85.27201670804106, -85.2744672896174, -85.27936845277014, -85.28181903434665, -85.27936845277014, -85.2744672896174, -85.27201670804106","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,19,35.0170686,-85.27691787
139,399,AB-24,"-85.26466496331182, 35.021313129351654, -85.26711554488821, 35.01706859755325, -85.27201670804106, 35.01706859755325, -85.2744672896174, 35.021313129351654, -85.27201670804106, 35.02555766115, -85.26711554488821, 35.02555766115, -85.26466496331182, 35.021313129351654","-85.26466496331182, -85.26711554488821, -85.27201670804106, -85.2744672896174, -85.27201670804106, -85.26711554488821, -85.26466496331182","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,19,35.02131313,-85.26956613
140,206,AC-24,"-85.25731321858262, 35.01706859755325, -85.25976380015896, 35.01282406575484, -85.26466496331182, 35.01282406575484, -85.26711554488821, 35.01706859755325, -85.26466496331182, 35.021313129351654, -85.25976380015896, 35.021313129351654, -85.25731321858262, 35.01706859755325","-85.25731321858262, -85.25976380015896, -85.26466496331182, -85.26711554488821, -85.26466496331182, -85.25976380015896, -85.25731321858262","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,19,35.0170686,-85.26221438
141,91,AD-24,"-85.24996147385338, 35.021313129351654, -85.25241205542983, 35.01706859755325, -85.25731321858262, 35.01706859755325, -85.25976380015896, 35.021313129351654, -85.25731321858262, 35.02555766115, -85.25241205542983, 35.02555766115, -85.24996147385338, 35.021313129351654","-85.24996147385338, -85.25241205542983, -85.25731321858262, -85.25976380015896, -85.25731321858262, -85.25241205542983, -85.24996147385338","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,19,35.02131313,-85.25486264
142,99,AE-24,"-85.24260972912424, 35.01706859755325, -85.24506031070064, 35.01282406575484, -85.24996147385338, 35.01282406575484, -85.25241205542983, 35.01706859755325, -85.24996147385338, 35.021313129351654, -85.24506031070064, 35.021313129351654, -85.24260972912424, 35.01706859755325","-85.24260972912424, -85.24506031070064, -85.24996147385338, -85.25241205542983, -85.24996147385338, -85.24506031070064, -85.24260972912424","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,19,35.0170686,-85.24751089
143,259,AF-24,"-85.23525798439505, 35.021313129351654, -85.23770856597139, 35.01706859755325, -85.24260972912424, 35.01706859755325, -85.24506031070064, 35.021313129351654, -85.24260972912424, 35.02555766115, -85.23770856597139, 35.02555766115, -85.23525798439505, 35.021313129351654","-85.23525798439505, -85.23770856597139, -85.24260972912424, -85.24506031070064, -85.24260972912424, -85.23770856597139, -85.23525798439505","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,19,35.02131313,-85.24015915
144,90,AG-24,"-85.2279062396658, 35.01706859755325, -85.2303568212422, 35.01282406575484, -85.23525798439505, 35.01282406575484, -85.23770856597139, 35.01706859755325, -85.23525798439505, 35.021313129351654, -85.2303568212422, 35.021313129351654, -85.2279062396658, 35.01706859755325","-85.2279062396658, -85.2303568212422, -85.23525798439505, -85.23770856597139, -85.23525798439505, -85.2303568212422, -85.2279062396658","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,19,35.0170686,-85.2328074
145,66,AH-24,"-85.22055449493655, 35.021313129351654, -85.22300507651306, 35.01706859755325, -85.2279062396658, 35.01706859755325, -85.2303568212422, 35.021313129351654, -85.2279062396658, 35.02555766115, -85.22300507651306, 35.02555766115, -85.22055449493655, 35.021313129351654","-85.22055449493655, -85.22300507651306, -85.2279062396658, -85.2303568212422, -85.2279062396658, -85.22300507651306, -85.22055449493655","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,19,35.02131313,-85.22545566
146,15,AI-24,"-85.21320275020747, 35.01706859755325, -85.21565333178387, 35.01282406575484, -85.22055449493655, 35.01282406575484, -85.22300507651306, 35.01706859755325, -85.22055449493655, 35.021313129351654, -85.21565333178387, 35.021313129351654, -85.21320275020747, 35.01706859755325","-85.21320275020747, -85.21565333178387, -85.22055449493655, -85.22300507651306, -85.22055449493655, -85.21565333178387, -85.21320275020747","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,19,35.0170686,-85.21810391
147,0,AJ-24,"-85.20585100547828, 35.021313129351654, -85.20830158705462, 35.01706859755325, -85.21320275020747, 35.01706859755325, -85.21565333178387, 35.021313129351654, -85.21320275020747, 35.02555766115, -85.20830158705462, 35.02555766115, -85.20585100547828, 35.021313129351654","-85.20585100547828, -85.20830158705462, -85.21320275020747, -85.21565333178387, -85.21320275020747, -85.20830158705462, -85.20585100547828","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,19,35.02131313,-85.21075217
148,311,AK-24,"-85.19849926074903, 35.01706859755325, -85.20094984232549, 35.01282406575484, -85.20585100547828, 35.01282406575484, -85.20830158705462, 35.01706859755325, -85.20585100547828, 35.021313129351654, -85.20094984232549, 35.021313129351654, -85.19849926074903, 35.01706859755325","-85.19849926074903, -85.20094984232549, -85.20585100547828, -85.20830158705462, -85.20585100547828, -85.20094984232549, -85.19849926074903","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,19,35.0170686,-85.20340042
149,258,AL-24,"-85.1911475160199, 35.021313129351654, -85.1935980975963, 35.01706859755325, -85.19849926074903, 35.01706859755325, -85.20094984232549, 35.021313129351654, -85.19849926074903, 35.02555766115, -85.1935980975963, 35.02555766115, -85.1911475160199, 35.021313129351654","-85.1911475160199, -85.1935980975963, -85.19849926074903, -85.20094984232549, -85.19849926074903, -85.1935980975963, -85.1911475160199","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,19,35.02131313,-85.19604868
150,173,AM-24,"-85.1837957712907, 35.01706859755325, -85.18624635286704, 35.01282406575484, -85.1911475160199, 35.01282406575484, -85.1935980975963, 35.01706859755325, -85.1911475160199, 35.021313129351654, -85.18624635286704, 35.021313129351654, -85.1837957712907, 35.01706859755325","-85.1837957712907, -85.18624635286704, -85.1911475160199, -85.1935980975963, -85.1911475160199, -85.18624635286704, -85.1837957712907","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,14,35.0170686,-85.18869693
151,111,AN-24,"-85.17644402656146, 35.021313129351654, -85.17889460813785, 35.01706859755325, -85.1837957712907, 35.01706859755325, -85.18624635286704, 35.021313129351654, -85.1837957712907, 35.02555766115, -85.17889460813785, 35.02555766115, -85.17644402656146, 35.021313129351654","-85.17644402656146, -85.17889460813785, -85.1837957712907, -85.18624635286704, -85.1837957712907, -85.17889460813785, -85.17644402656146","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,19,35.02131313,-85.18134519
152,417,AO-24,"-85.16909228183226, 35.01706859755325, -85.17154286340872, 35.01282406575484, -85.17644402656146, 35.01282406575484, -85.17889460813785, 35.01706859755325, -85.17644402656146, 35.021313129351654, -85.17154286340872, 35.021313129351654, -85.16909228183226, 35.01706859755325","-85.16909228183226, -85.17154286340872, -85.17644402656146, -85.17889460813785, -85.17644402656146, -85.17154286340872, -85.16909228183226","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,19,35.0170686,-85.17399344
153,93,AP-24,"-85.16174053710313, 35.021313129351654, -85.16419111867953, 35.01706859755325, -85.16909228183226, 35.01706859755325, -85.17154286340872, 35.021313129351654, -85.16909228183226, 35.02555766115, -85.16419111867953, 35.02555766115, -85.16174053710313, 35.021313129351654","-85.16174053710313, -85.16419111867953, -85.16909228183226, -85.17154286340872, -85.16909228183226, -85.16419111867953, -85.16174053710313","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,19,35.02131313,-85.1666417
154,254,AQ-24,"-85.15438879237394, 35.01706859755325, -85.15683937395028, 35.01282406575484, -85.16174053710313, 35.01282406575484, -85.16419111867953, 35.01706859755325, -85.16174053710313, 35.021313129351654, -85.15683937395028, 35.021313129351654, -85.15438879237394, 35.01706859755325","-85.15438879237394, -85.15683937395028, -85.16174053710313, -85.16419111867953, -85.16174053710313, -85.15683937395028, -85.15438879237394","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,19,35.0170686,-85.15928996
155,18,AR-24,"-85.14703704764469, 35.021313129351654, -85.14948762922103, 35.01706859755325, -85.15438879237388, 35.01706859755325, -85.15683937395028, 35.021313129351654, -85.15438879237388, 35.02555766115, -85.14948762922103, 35.02555766115, -85.14703704764469, 35.021313129351654","-85.14703704764469, -85.14948762922103, -85.15438879237388, -85.15683937395028, -85.15438879237388, -85.14948762922103, -85.14703704764469","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,19,35.02131313,-85.15193821
156,14,AS-24,"-85.13968530291544, 35.01706859755325, -85.14213588449195, 35.01282406575484, -85.14703704764469, 35.01282406575484, -85.14948762922103, 35.01706859755325, -85.14703704764469, 35.021313129351654, -85.14213588449195, 35.021313129351654, -85.13968530291544, 35.01706859755325","-85.13968530291544, -85.14213588449195, -85.14703704764469, -85.14948762922103, -85.14703704764469, -85.14213588449195, -85.13968530291544","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,19,35.0170686,-85.14458647
157,49,AT-24,"-85.13233355818636, 35.021313129351654, -85.1347841397627, 35.01706859755325, -85.13968530291544, 35.01706859755325, -85.14213588449195, 35.021313129351654, -85.13968530291544, 35.02555766115, -85.1347841397627, 35.02555766115, -85.13233355818636, 35.021313129351654","-85.13233355818636, -85.1347841397627, -85.13968530291544, -85.14213588449195, -85.13968530291544, -85.1347841397627, -85.13233355818636","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,16,35.02131313,-85.13723472
158,55,AU-24,"-85.12498181345711, 35.01706859755325, -85.12743239503351, 35.01282406575484, -85.13233355818636, 35.01282406575484, -85.1347841397627, 35.01706859755325, -85.13233355818636, 35.021313129351654, -85.12743239503351, 35.021313129351654, -85.12498181345711, 35.01706859755325","-85.12498181345711, -85.12743239503351, -85.13233355818636, -85.1347841397627, -85.13233355818636, -85.12743239503351, -85.12498181345711","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,19,35.0170686,-85.12988298
159,29,AV-24,"-85.11763006872792, 35.021313129351654, -85.12008065030426, 35.01706859755325, -85.12498181345711, 35.01706859755325, -85.12743239503351, 35.021313129351654, -85.12498181345711, 35.02555766115, -85.12008065030426, 35.02555766115, -85.11763006872792, 35.021313129351654","-85.11763006872792, -85.12008065030426, -85.12498181345711, -85.12743239503351, -85.12498181345711, -85.12008065030426, -85.11763006872792","35.021313129351654, 35.01706859755325, 35.01706859755325, 35.021313129351654, 35.02555766115, 35.02555766115, 35.021313129351654",2,2,19,35.02131313,-85.12253123
160,12,AW-24,"-85.11027832399867, 35.01706859755325, -85.11272890557512, 35.01282406575484, -85.11763006872792, 35.01282406575484, -85.12008065030426, 35.01706859755325, -85.11763006872792, 35.021313129351654, -85.11272890557512, 35.021313129351654, -85.11027832399867, 35.01706859755325","-85.11027832399867, -85.11272890557512, -85.11763006872792, -85.12008065030426, -85.11763006872792, -85.11272890557512, -85.11027832399867","35.01706859755325, 35.01282406575484, 35.01282406575484, 35.01706859755325, 35.021313129351654, 35.021313129351654, 35.01706859755325",2,2,16,35.0170686,-85.11517949
161,2,I-23,"-85.40434811316652, 35.02555766115, -85.40679869474286, 35.021313129351654, -85.41169985789571, 35.021313129351654, -85.41415043947211, 35.02555766115, -85.41169985789571, 35.02980219294841, -85.40679869474286, 35.02980219294841, -85.40434811316652, 35.02555766115","-85.40434811316652, -85.40679869474286, -85.41169985789571, -85.41415043947211, -85.41169985789571, -85.40679869474286, -85.40434811316652","35.02555766115, 35.021313129351654, 35.021313129351654, 35.02555766115, 35.02980219294841, 35.02980219294841, 35.02555766115",2,2,19,35.02555766,-85.40924928
162,3,J-23,"-85.39699636843727, 35.02980219294841, -85.39944695001367, 35.02555766115, -85.40434811316652, 35.02555766115, -85.40679869474286, 35.02980219294841, -85.40434811316652, 35.034046724746986, -85.39944695001367, 35.034046724746986, -85.39699636843727, 35.02980219294841","-85.39699636843727, -85.39944695001367, -85.40434811316652, -85.40679869474286, -85.40434811316652, -85.39944695001367, -85.39699636843727","35.02980219294841, 35.02555766115, 35.02555766115, 35.02980219294841, 35.034046724746986, 35.034046724746986, 35.02980219294841",2,2,19,35.02980219,-85.40189753
163,15,K-23,"-85.38964462370808, 35.02555766115, -85.39209520528453, 35.021313129351654, -85.39699636843727, 35.021313129351654, -85.39944695001367, 35.02555766115, -85.39699636843727, 35.02980219294841, -85.39209520528453, 35.02980219294841, -85.38964462370808, 35.02555766115","-85.38964462370808, -85.39209520528453, -85.39699636843727, -85.39944695001367, -85.39699636843727, -85.39209520528453, -85.38964462370808","35.02555766115, 35.021313129351654, 35.021313129351654, 35.02555766115, 35.02980219294841, 35.02980219294841, 35.02555766115",2,2,19,35.02555766,-85.39454579
164,1,L-23,"-85.38229287897894, 35.02980219294841, -85.38474346055534, 35.02555766115, -85.38964462370808, 35.02555766115, -85.39209520528453, 35.02980219294841, -85.38964462370808, 35.034046724746986, -85.38474346055534, 35.034046724746986, -85.38229287897894, 35.02980219294841","-85.38229287897894, -85.38474346055534, -85.38964462370808, -85.39209520528453, -85.38964462370808, -85.38474346055534, -85.38229287897894","35.02980219294841, 35.02555766115, 35.02555766115, 35.02980219294841, 35.034046724746986, 35.034046724746986, 35.02980219294841",2,3,9,35.02980219,-85.38719404
165,157,M-23,"-85.37494113424975, 35.02555766115, -85.37739171582609, 35.021313129351654, -85.38229287897894, 35.021313129351654, -85.38474346055534, 35.02555766115, -85.38229287897894, 35.02980219294841, -85.37739171582609, 35.02980219294841, -85.37494113424975, 35.02555766115","-85.37494113424975, -85.37739171582609, -85.38229287897894, -85.38474346055534, -85.38229287897894, -85.37739171582609, -85.37494113424975","35.02555766115, 35.021313129351654, 35.021313129351654, 35.02555766115, 35.02980219294841, 35.02980219294841, 35.02555766115",2,2,19,35.02555766,-85.3798423
166,33,N-23,"-85.3675893895205, 35.02980219294841, -85.37003997109684, 35.02555766115, -85.37494113424975, 35.02555766115, -85.37739171582609, 35.02980219294841, -85.37494113424975, 35.034046724746986, -85.37003997109684, 35.034046724746986, -85.3675893895205, 35.02980219294841","-85.3675893895205, -85.37003997109684, -85.37494113424975, -85.37739171582609, -85.37494113424975, -85.37003997109684, -85.3675893895205","35.02980219294841, 35.02555766115, 35.02555766115, 35.02980219294841, 35.034046724746986, 35.034046724746986, 35.02980219294841",2,2,19,35.02980219,-85.37249055
167,402,O-23,"-85.36023764479137, 35.02555766115, -85.36268822636777, 35.021313129351654, -85.3675893895205, 35.021313129351654, -85.37003997109684, 35.02555766115, -85.3675893895205, 35.02980219294841, -85.36268822636777, 35.02980219294841, -85.36023764479137, 35.02555766115","-85.36023764479137, -85.36268822636777, -85.3675893895205, -85.37003997109684, -85.3675893895205, -85.36268822636777, -85.36023764479137","35.02555766115, 35.021313129351654, 35.021313129351654, 35.02555766115, 35.02980219294841, 35.02980219294841, 35.02555766115",4,2,19,35.02555766,-85.36513881
168,156,P-23,"-85.35288590006218, 35.02980219294841, -85.35533648163857, 35.02555766115, -85.36023764479137, 35.02555766115, -85.36268822636777, 35.02980219294841, -85.36023764479137, 35.034046724746986, -85.35533648163857, 35.034046724746986, -85.35288590006218, 35.02980219294841","-85.35288590006218, -85.35533648163857, -85.36023764479137, -85.36268822636777, -85.36023764479137, -85.35533648163857, -85.35288590006218","35.02980219294841, 35.02555766115, 35.02555766115, 35.02980219294841, 35.034046724746986, 35.034046724746986, 35.02980219294841",6,2,11,35.02980219,-85.35778706
169,79,Q-23,"-85.34553415533298, 35.02555766115, -85.34798473690932, 35.021313129351654, -85.35288590006218, 35.021313129351654, -85.35533648163857, 35.02555766115, -85.35288590006218, 35.02980219294841, -85.34798473690932, 35.02980219294841, -85.34553415533298, 35.02555766115","-85.34553415533298, -85.34798473690932, -85.35288590006218, -85.35533648163857, -85.35288590006218, -85.34798473690932, -85.34553415533298","35.02555766115, 35.021313129351654, 35.021313129351654, 35.02555766115, 35.02980219294841, 35.02980219294841, 35.02555766115",4,2,11,35.02555766,-85.35043532
170,9,R-23,"-85.33818241060374, 35.02980219294841, -85.34063299218019, 35.02555766115, -85.34553415533298, 35.02555766115, -85.34798473690932, 35.02980219294841, -85.34553415533298, 35.034046724746986, -85.34063299218019, 35.034046724746986, -85.33818241060374, 35.02980219294841","-85.33818241060374, -85.34063299218019, -85.34553415533298, -85.34798473690932, -85.34553415533298, -85.34063299218019, -85.33818241060374","35.02980219294841, 35.02555766115, 35.02555766115, 35.02980219294841, 35.034046724746986, 35.034046724746986, 35.02980219294841",4,2,11,35.02980219,-85.34308357
