Grid_Block,Highway,Land_Use_Mode,Segment_Count,Road_Count
268,0,7,14,14
269,0,7,14,10
270,1,0,3,2
271,1,0,2,1
273,0,2,2,1
274,1,5,5,2
275,1,2,30,14
276,1,7,39,25
277,0,7,37,30
278,0,2,21,15
279,0,7,26,17
280,0,7,38,25
281,0,7,37,28
282,0,7,32,21
283,0,7,24,17
284,0,7,25,21
285,0,7,40,29
286,0,7,31,24
287,0,7,11,10
289,0,2,2,2
290,0,2,7,5
291,0,2,12,8
292,1,2,14,8
293,1,7,16,13
294,1,7,25,16
295,0,0,3,3
296,0,2,4,3
297,0,7,9,8
298,0,2,10,5
299,0,0,11,8
300,0,7,12,12
301,0,7,9,9
302,0,7,13,13
303,0,7,17,15
304,0,7,17,17
305,0,0,4,4
306,0,7,7,2
307,0,7,5,5
308,0,7,9,9
309,0,0,1,1
312,0,0,8,8
313,0,7,14,12
314,0,7,11,9
315,0,7,2,2
317,0,2,1,1
318,0,5,5,4
319,1,2,27,18
320,0,4,35,21
321,0,7,20,15
322,0,7,26,14
323,0,7,23,16
324,0,7,28,25
325,0,7,39,25
326,0,7,31,19
327,0,7,18,14
328,0,7,29,25
329,0,7,28,24
330,0,7,23,19
331,0,7,20,15
332,0,7,7,6
333,0,2,1,1
334,0,2,7,7
335,1,7,21,16
336,1,7,14,9
337,0,7,14,12
338,1,7,10,9
339,1,2,10,5
340,0,2,10,6
341,0,7,12,9
342,0,7,13,10
343,0,7,13,13
344,0,7,10,10
345,0,7,9,9
346,0,7,18,17
347,0,7,8,8
348,0,7,7,7
349,0,7,6,6
350,0,7,8,5
351,0,7,3,3
352,0,7,8,7
356,0,0,3,3
357,0,7,11,9
358,0,7,10,8
359,0,7,3,2
361,0,2,1,1
362,0,5,2,2
363,1,7,33,24
364,0,2,53,28
365,0,2,31,20
366,0,7,41,25
367,0,7,16,13
368,0,7,29,21
369,0,7,36,29
370,0,7,33,24
371,0,7,14,10
372,0,7,25,22
373,0,7,29,23
374,0,7,19,16
375,0,7,13,9
376,0,7,6,4
377,0,0,2,2
378,0,7,10,7
379,1,7,15,11
380,0,7,9,6
381,0,7,21,18
382,0,4,18,14
383,1,2,21,12
384,1,7,16,12
385,0,7,15,13
386,0,7,14,14
387,0,7,17,16
388,0,7,10,9
389,0,7,10,10
390,0,7,10,9
391,0,7,3,3
392,0,7,7,7
393,0,7,10,9
394,0,7,2,2
396,0,7,6,4
400,0,7,2,2
401,0,7,1,1
402,0,7,11,11
403,0,7,7,6
405,0,7,4,4
406,0,2,7,5
407,1,2,22,12
408,0,2,49,22
409,0,2,39,16
410,0,0,22,11
411,0,7,14,12
412,0,7,8,7
413,0,7,25,21
414,0,7,34,23
415,0,7,21,13
416,0,7,23,16
417,0,7,22,18
418,0,7,15,14
419,0,7,6,6
420,0,2,8,5
421,0,2,1,1
422,0,2,2,2
423,1,2,5,4
424,0,7,12,9
425,0,7,15,12
426,0,7,14,13
427,0,7,11,10
428,1,7,16,10
429,1,2,13,7
430,0,7,4,3
431,0,7,6,5
432,0,7,11,10
433,0,7,3,3
434,0,7,1,1
435,0,0,1,1
436,0,7,6,6
437,0,7,15,15
438,0,7,4,4
440,0,5,3,2
444,0,7,2,2
446,0,7,6,6
447,0,7,6,6
449,0,2,5,4
450,0,5,7,3
451,1,2,9,5
452,0,2,18,13
453,0,9,4,4
455,0,4,2,1
456,0,5,7,4
457,0,7,21,14
458,0,7,39,27
459,0,7,27,20
460,0,7,15,13
461,0,7,8,8
462,0,7,13,12
463,0,7,4,4
464,0,7,10,10
465,0,2,7,5
466,0,2,7,4
467,1,2,10,8
468,0,7,8,7
469,0,7,10,9
470,0,7,4,4
471,0,7,14,13
472,0,7,14,13
473,1,7,17,12
474,1,2,15,6
475,0,2,9,5
476,0,7,5,5
477,0,7,3,3
478,0,7,5,5
479,0,0,2,2
480,0,7,3,3
481,0,7,10,10
482,0,7,10,7
483,0,0,4,1
484,0,7,5,3
488,0,7,1,1
489,0,7,1,1
490,0,0,2,2
491,0,0,1,1
493,0,7,5,5
494,0,7,10,7
495,1,2,26,14
496,0,2,35,25
497,0,7,45,29
498,0,7,23,17
499,0,7,9,7
500,0,5,3,3
501,0,7,7,6
502,0,7,14,9
503,0,7,37,26
504,0,7,23,17
505,0,7,9,8
506,0,7,9,9
508,0,7,4,4
509,0,2,1,1
510,1,2,6,4
511,1,2,4,4
512,0,7,2,2
513,0,7,6,5
514,0,7,1,1
515,0,7,11,10
516,0,7,13,13
517,0,7,9,5
518,1,0,14,9
519,1,0,17,8
520,0,7,13,11
521,0,0,4,4
522,0,7,11,7
523,0,0,2,2
524,0,0,3,3
525,0,0,5,4
526,0,2,9,6
527,0,7,9,7
528,0,7,1,1
532,0,7,1,1
533,0,7,1,1
534,0,0,2,1
537,0,2,6,5
538,1,7,18,11
539,1,4,27,19
540,0,7,39,28
541,0,7,38,27
542,0,7,37,26
543,0,7,16,15
545,0,7,17,14
546,0,7,12,12
547,0,7,34,23
548,0,7,35,21
549,0,7,11,9
550,0,7,10,9
551,0,7,3,2
552,0,7,8,8
553,0,5,5,4
554,1,2,8,5
555,0,5,8,6
556,0,5,3,3
557,0,7,10,10
558,0,7,7,7
559,0,2,4,3
560,0,4,4,2
561,0,2,5,3
562,0,2,2,1
563,1,0,5,4
564,1,0,10,5
565,1,0,13,8
566,0,0,14,7
567,0,0,4,3
568,0,7,5,5
569,0,7,5,5
570,0,0,1,1
571,0,7,23,16
572,0,7,11,9
578,0,7,1,1
580,0,5,1,1
581,0,5,4,3
582,1,7,19,13
583,0,7,13,9
584,0,7,21,18
585,0,7,19,15
586,0,7,24,21
587,0,7,19,13
589,0,4,7,6
590,0,7,17,12
591,0,7,25,15
592,0,7,14,9
593,0,7,18,13
594,0,7,15,15
595,0,7,7,7
596,0,7,10,8
597,1,7,21,16
598,1,7,19,14
599,0,7,18,15
600,0,7,14,11
601,0,7,19,13
602,0,7,9,8
603,0,2,6,2
604,0,2,3,3
605,0,2,1,1
606,0,2,2,1
607,0,2,3,1
608,0,0,1,1
609,1,0,8,4
610,1,0,8,4
611,1,7,10,9
612,0,7,15,15
613,0,7,9,8
614,0,0,4,3
615,0,7,17,14
616,0,7,13,12
622,0,7,1,1
625,0,7,4,1
626,1,7,16,9
627,0,7,12,8
628,0,0,4,3
629,0,7,21,13
630,0,7,18,15
631,0,7,5,3
633,0,5,9,7
634,0,5,10,9
635,0,5,2,2
636,0,7,8,6
637,0,7,7,7
638,0,7,9,7
639,0,7,7,7
640,1,7,16,12
641,1,7,32,21
642,0,7,27,22
643,0,7,28,18
644,0,7,15,15
645,0,7,20,19
646,0,7,7,6
647,0,0,1,1
648,0,0,1,1
655,1,7,5,4
656,1,7,12,10
657,1,0,11,7
658,1,0,17,8
659,0,2,9,5
660,0,0,8,5
666,0,7,1,1
669,0,7,4,4
670,1,0,16,7
671,0,7,17,14
672,0,7,18,13
673,0,7,13,11
674,0,7,14,12
675,0,7,9,8
676,0,7,2,2
678,0,5,3,3
679,0,5,2,2
680,0,5,2,2
681,0,7,4,3
682,0,7,6,4
683,1,4,9,5
684,1,7,14,12
685,0,7,14,14
686,0,7,20,16
687,0,7,20,14
688,0,7,11,8
689,0,7,18,15
690,0,7,6,5
691,0,0,1,1
699,0,7,3,2
700,0,7,13,12
701,0,7,5,5
702,1,2,12,6
703,1,0,11,5
704,0,0,4,4
710,0,7,1,1
713,0,7,4,4
714,1,2,5,5
715,1,7,15,9
716,0,7,23,20
717,0,7,12,10
718,0,7,7,6
719,0,7,13,13
720,0,7,9,9
721,0,7,3,3
722,0,5,1,1
723,0,5,8,4
724,0,5,4,2
725,0,5,3,2
726,1,9,7,5
727,1,4,6,4
728,0,7,8,6
729,0,7,11,10
730,0,7,14,11
731,0,7,21,17
732,0,7,11,9
733,0,7,10,8
735,0,0,2,1
738,0,0,1,1
743,0,7,4,4
744,0,7,10,10
745,0,0,4,4
746,0,7,1,1
747,1,0,10,7
748,1,0,9,5
753,0,7,1,1
754,0,4,2,2
755,0,0,2,2
756,0,0,2,2
757,0,7,15,11
758,0,2,9,7
759,1,0,6,5
760,0,7,26,14
761,0,7,23,17
762,0,7,14,12
763,0,7,14,12
764,0,7,22,15
765,0,7,11,11
766,0,7,6,5
767,0,0,2,1
769,0,9,1,1
770,1,9,4,3
774,0,7,1,1
775,0,7,10,7
776,0,7,7,6
777,0,0,5,4
778,0,4,1,1
779,0,0,4,3
781,0,0,1,1
782,0,0,1,1
785,0,7,1,1
786,0,7,1,1
787,0,7,7,7
788,0,7,7,6
789,0,0,1,1
790,0,7,1,1
791,0,0,2,2
792,1,0,7,6
796,0,0,2,1
797,0,7,4,2
798,0,0,4,3
799,0,0,15,9
800,0,0,9,6
801,0,7,6,6
802,0,7,10,4
803,1,7,10,8
804,1,7,5,5
805,0,7,19,17
806,0,7,22,17
807,0,7,19,19
808,0,7,15,14
809,0,7,18,18
810,0,7,19,17
811,0,7,13,7
812,0,5,1,1
813,0,5,2,2
814,1,9,10,4
815,0,9,4,2
816,0,2,5,4
820,0,9,2,2
821,0,0,8,7
822,0,7,9,9
823,0,7,8,8
824,0,7,7,6
825,0,4,8,5
826,0,7,10,10
827,0,7,4,4
829,0,7,6,6
830,0,7,13,13
831,0,7,13,13
832,0,7,6,6
833,0,0,3,2
834,0,0,2,2
835,0,0,1,1
836,1,0,3,3
839,0,0,2,2
840,0,0,2,2
841,0,0,1,1
842,0,7,10,9
843,0,7,16,14
844,0,7,18,13
845,0,7,4,4
846,0,7,4,2
847,0,7,10,10
848,1,7,7,7
849,1,7,18,14
850,0,7,28,20
851,0,7,14,13
852,0,7,15,15
853,0,7,18,15
854,0,7,22,15
855,0,2,22,13
856,0,2,2,2
857,1,0,1,1
858,1,0,5,2
859,0,0,2,2
860,0,7,10,9
861,0,0,4,4
865,0,0,1,1
866,0,7,8,8
867,0,7,19,17
868,0,7,9,9
869,0,7,14,12
870,0,7,15,12
871,0,7,10,8
872,0,7,7,7
873,0,7,6,6
874,0,7,12,11
875,0,7,11,11
876,0,7,8,8
877,0,7,5,5
878,0,0,1,1
879,0,0,1,1
880,0,7,6,6
882,0,0,3,2
883,0,0,1,1
885,0,7,17,11
886,0,7,26,16
887,0,7,23,13
888,0,7,25,21
889,0,7,8,8
890,0,0,1,1
891,0,7,5,4
892,0,7,6,6
893,1,7,7,6
894,1,7,27,21
895,0,7,27,19
896,0,7,18,17
897,0,7,18,16
898,0,7,17,14
899,0,7,15,15
900,0,7,16,15
901,1,2,18,9
902,0,7,10,8
903,0,7,2,2
904,0,7,13,7
905,0,7,12,12
906,0,7,9,7
907,0,7,1,1
910,0,7,9,8
911,0,7,17,17
912,0,7,9,9
913,0,7,5,5
914,0,7,17,13
915,0,7,9,9
916,0,7,11,11
917,0,7,8,8
918,0,7,12,11
919,0,7,13,11
920,0,7,7,7
921,0,7,1,1
922,0,7,6,6
923,0,0,2,2
924,0,7,19,18
926,0,0,1,1
929,0,7,1,1
930,0,7,9,7
931,0,7,16,11
932,0,7,15,12
933,0,7,10,9
934,0,7,5,5
935,0,0,3,2
936,0,7,10,7
937,0,7,16,13
938,1,7,7,5
939,0,7,21,16
940,0,7,20,19
941,0,7,17,15
942,0,7,14,14
943,0,7,13,12
944,1,7,15,11
945,1,2,7,4
946,0,7,8,8
947,0,7,3,3
948,0,7,7,4
949,0,7,11,7
950,0,7,12,11
951,0,7,10,10
954,0,7,9,9
955,0,7,9,9
956,0,0,9,8
957,0,0,2,2
958,0,7,8,7
959,0,7,5,4
960,0,7,4,4
961,0,7,7,7
962,0,7,11,11
963,0,7,9,9
965,0,0,4,3
966,0,0,2,2
967,0,7,6,6
968,0,7,7,6
975,0,7,9,9
976,0,7,15,12
977,0,7,13,10
978,0,7,15,9
979,0,7,3,3
980,0,7,7,6
981,0,7,6,6
982,1,0,2,2
983,0,7,17,13
984,0,7,21,16
985,0,7,21,17
986,0,7,19,18
987,0,7,12,12
988,1,2,11,7
989,0,2,8,6
990,0,2,2,1
991,0,7,2,2
992,0,7,9,6
993,0,7,4,4
994,0,7,11,11
995,0,7,10,10
996,0,7,2,2
998,0,7,4,4
999,0,7,9,8
1000,0,7,11,9
1001,0,7,1,1
1002,0,0,4,3
1003,0,0,3,2
1004,0,0,3,3
1005,0,7,5,5
1006,0,7,1,1
1007,0,7,3,3
1008,0,0,2,2
1009,0,7,5,4
1010,0,0,6,6
1012,0,0,2,2
1018,0,7,1,1
1019,0,7,10,8
1020,0,7,10,8
1021,0,7,20,17
1022,0,7,12,10
1023,0,0,5,5
1024,0,0,2,1
1025,0,7,2,2
1026,1,0,1,1
1027,0,7,9,5
1028,0,7,19,16
1029,0,7,20,18
1030,0,7,23,21
1031,1,7,16,14
1032,1,7,11,9
1033,0,7,24,15
1034,0,4,12,9
1036,0,0,1,1
1037,0,0,2,2
1038,0,7,8,8
1039,0,7,18,17
1040,0,7,9,8
1041,0,7,3,3
1042,0,0,1,1
1043,0,7,10,9
1044,0,7,4,4
1048,0,0,5,5
1049,0,7,8,7
1050,0,0,2,2
1051,0,0,2,2
1052,0,7,5,5
1053,0,7,7,5
1054,0,7,10,10
1055,0,0,2,2
1056,0,0,3,3
1059,0,0,1,1
1060,0,0,3,2
1061,0,0,1,1
1063,0,7,10,10
1064,0,7,17,14
1065,0,7,15,12
1066,0,7,13,12
1067,0,7,13,10
1068,0,7,3,3
1069,0,7,3,2
1070,1,7,3,3
1071,0,7,4,4
1072,0,7,14,12
1073,0,7,13,12
1074,0,7,10,10
1075,1,7,14,12
1076,0,7,14,13
1077,0,7,14,9
1078,0,7,6,6
1079,0,4,2,2
1080,0,7,1,1
1081,0,7,11,10
1082,0,7,7,7
1083,0,7,11,11
1084,0,7,10,8
1085,0,7,9,8
1087,0,7,8,7
1088,0,7,5,5
1092,0,0,1,1
1093,0,0,2,2
1094,0,7,1,1
1096,0,7,4,3
1097,0,7,5,4
1098,0,7,1,0
1099,0,7,6,5
1100,0,7,10,6
