Index,Accident,Problem,Latitude,Longitude,Date,Time,Address,Route,Log_Mile,City,Event,Conditions,EventBefore,ConditionBefore,Hour,Temperature,Temp_Max,Temp_Min,Monthly_Avg_Temp,Daily_Avg_Temp,Relative_Temp,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Illumination,Operation,Speed_Limit,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,AADT,DHV,Pavement_Width,Pavement_Type
18,,No Injuries,35.04591,-85.31408,2019-05-14,17:15:45,90-109 Highway 27 Nb,33I0124001,1.32,CHATTANOOGA,clear-day,Clear,clear-night,Clear,17,71.83,72.85,50.77,,,,43.53,0.36,5,1,6.69,0.13,NA,0,0,-1000,1,0,0,0,0,0,2,2,2,1,2,55,5,6,2,1,11,73550,10,24,15
19,,No Injuries,35.027705,-85.255515,2019-05-14,17:13:02,3100 Brainerd Rd,33SR002001,11.886,CHATTANOOGA,clear-day,Clear,clear-night,Clear,17,70.86,71.74,50.56,,,,43.52,0.37,5,1,7.41,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,35,4,4,13,1,14,36770,12,22,15
20,,No Injuries,35.134299,-85.240443,2019-05-14,17:11:48,5098 Hixson Pike,33SR319001,4.679,CHATTANOOGA,clear-day,Clear,clear-night,Clear,17,72.18,73.14,49.64,,,,43.64,0.36,5,1,7.6,0.1,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,40,4,4,13,1,14,30820,10,24,15
21,,No Injuries,35.032789,-85.161013,2019-05-14,17:09:22,2084 HAMILTON PLACE BLVD,330E448001,0.756,CHATTANOOGA,clear-day,Clear,clear-night,Clear,17,71.67,72.44,49.76,,,,44.17,0.37,5,1,7.73,0.09,NA,0,0,-1000,1,0,0,0,0,0,,,,,,,,,,,,,,,
22,,No Injuries,35.111753,-85.254384,2019-05-14,16:47:25,3954 Atlanta Dr,330A091001,0.665,CHATTANOOGA,clear-day,Clear,clear-night,Clear,16,71,73.09,50.08,,,,43.44,0.37,5,1,7.33,0.1,NA,0,0,-1000,1,0,0,0,0,0,2,7,0,1,2,25,2,2,12,4,19,,,26,6
23,,No Injuries,35.05125,-85.314,2019-05-14,16:46:34,141-149 Highway 27 Sb,33I0124001,1.692,CHATTANOOGA,clear-day,Clear,clear-night,Clear,16,70.44,72.63,50.8,,,,43.55,0.38,5,1,6.7,0.13,NA,0,0,-1000,1,0,0,0,0,0,2,2,2,1,2,55,4,4,2,1,11,75960,10,24,15
24,,No Injuries,35.06164,-85.193575,2019-05-14,16:32:06,300 Highway 153 Nb,33SR153001,3.072,CHATTANOOGA,clear-day,Clear,clear-night,Clear,16,70.08,72.58,50.75,,,,43.55,0.38,5,1,7.47,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,4,2,0,2,55,6,8,13,1,12,72870,10,36,15
25,,Unknown Injuries,35.128982,-85.334326,2019-05-14,16:13:33,1024 Ridgeway Ave,33SR008001,17.728,SIGNAL MOUNTAIN,clear-day,Clear,clear-night,Clear,16,65.85,66.25,47.34,,,,43.48,0.44,5,1,6.95,0.1,NA,0,0,-1000,1,0,0,0,0,0,2,7,0,1,2,35,3,3,21,1,16,10160,12,24,15
26,,No Injuries,35.2025,-85.207355,2019-05-14,16:13:17,1300 - 1307 Thrasher Pike,3300951001,1.088,HAMILTON COUNTY,partly-cloudy-day,Partly Cloudy,clear-night,Clear,16,71.17,72.77,49.43,,,,44.4,0.38,5,1,5.57,0.11,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,0,2,35,2,2,18,2,16,3380,14,20,15
27,,No Injuries,35.202555,-85.20743,2019-05-14,16:13:15,Thrasher Pike / Gann Rd,3300951001,1.082,SODDY DAISY,partly-cloudy-day,Partly Cloudy,clear-night,Clear,16,71.18,72.77,49.43,,,,44.4,0.38,5,1,5.56,0.11,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,0,2,35,2,2,18,2,16,3380,14,20,15
28,,No Injuries,35.128982,-85.334326,2019-05-14,16:12:48,1024 Ridgeway Ave,33SR008001,17.728,SIGNAL MOUNTAIN,clear-day,Clear,clear-night,Clear,16,65.85,66.25,47.34,,,,43.48,0.44,5,1,6.95,0.1,NA,0,0,-1000,1,0,0,0,0,0,2,7,0,1,2,35,3,3,21,1,16,10160,12,24,15
29,,No Injuries,35.06559,-85.194373,2019-05-14,16:00:43,4200 JERSEY PIKE,3303601001,0.798,CHATTANOOGA,clear-day,Clear,clear-night,Clear,16,70.09,72.56,50.73,,,,43.55,0.38,5,1,7.46,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,40,2,2,31,4,16,12090,11,24,15
30,,No Injuries,35.06487,-85.195673,2019-05-14,16:00:42,1 - 9 EXIT JERSEY PIKE ON RAMP SB,3303601001,0.71,CHATTANOOGA,clear-day,Clear,clear-night,Clear,16,70.09,72.57,50.74,,,,43.55,0.38,5,1,7.46,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,40,2,2,18,4,16,9920,11,,
31,,No Injuries,35.012467,-85.325098,2019-05-14,15:29:35,Charger Dr / W 37th St,330A838001,0.888,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,clear-night,Clear,15,68.61,72.72,50.48,,,,43.48,0.4,5,1,6.4,0.13,NA,0,0,-1000,0,1,0,0,0,0,2,0,0,,2,,2,2,12,4,19,,,28,15
32,,No Injuries,35.015214,-85.163699,2019-05-14,15:29:22,Gunbarrel Rd / E Brainerd Rd,33SR320001,2.607,CHATTANOOGA,clear-day,Clear,clear-night,Clear,15,67.94,72.4,49.75,,,,43.37,0.41,5,1,7.99,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,40,4,4,21,1,14,42060,10,22,15
33,,No Injuries,35.012467,-85.325098,2019-05-14,15:28:25,W 37TH ST / CHARGER DR,330A838001,0.888,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,clear-night,Clear,15,68.61,72.72,50.48,,,,43.48,0.4,5,1,6.4,0.13,NA,0,0,-1000,0,1,0,0,0,0,2,0,0,,2,,2,2,12,4,19,,,28,15
34,,Delayed,35.053186,-85.310716,2019-05-14,15:17:21,325 Broad St,3303561001,0.515,CHATTANOOGA,clear-day,Clear,clear-night,Clear,15,68.8,72.77,50.82,,,,43.46,0.4,5,1,6.93,0.1,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,30,6,6,18,4,16,9160,13,36,15
35,,Delayed,35.042164,-85.220198,2019-05-14,14:57:53,4110 Shallowford Rd,3303578001,3.621,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,clear-night,Clear,14,66.53,72.81,50.86,,,,42.3,0.41,5,1,7.78,0.09,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,1,2,35,4,4,18,4,16,11520,12,42,15
36,,Delayed,35.047332,-85.313128,2019-05-14,14:48:53,801 Pine St,330A343001,0.093,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,clear-night,Clear,14,66.21,72.76,50.78,,,,42.52,0.42,5,1,6.72,0.13,NA,0,0,-1000,0,1,0,0,0,0,2,2,0,1,2,,2,2,12,4,19,,,20,15
37,,Unknown Injuries,34.989291,-85.247407,2019-05-14,14:40:02,4226 BENNETT RD,3304148001,0.393,EAST RIDGE,partly-cloudy-day,Partly Cloudy,clear-night,Clear,14,65.94,72.39,50.8,,,,42.26,0.42,5,1,7.41,0.09,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,1,2,30,2,2,18,4,17,4380,14,26,15
38,,Injuries,34.989218,-85.246186,2019-05-14,14:40:02,Myrtle Ave / Bennett Rd,3304148001,0.325,EAST RIDGE,partly-cloudy-day,Partly Cloudy,clear-night,Clear,14,65.95,72.41,50.81,,,,42.26,0.42,5,1,7.42,0.09,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,1,2,30,2,2,18,4,17,4380,14,,
39,,Injuries,34.9898,-85.247084,2019-05-14,14:39:49,4301 BENNETT RD,330B934001,0.191,EAST RIDGE,partly-cloudy-day,Partly Cloudy,clear-night,Clear,14,65.94,72.39,50.8,,,,42.26,0.42,5,1,7.42,0.09,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,1,2,30,2,2,12,4,19,,,22,15
40,,No Injuries,35.046151,-85.233526,2019-05-14,14:31:59,WILCOX BLVD / DOGWOOD DR,3303556001,2.649,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,clear-night,Clear,14,66.19,72.36,50.71,,,,42.3,0.42,5,1,7.71,0.09,NA,0,0,-1000,0,1,0,0,0,0,2,4,0,1,2,40,2,2,18,4,16,13470,12,12,15
41,,No Injuries,35.047083,-85.237299,2019-05-14,14:31:05,Wilcox Blvd / Tunnel Blvd,3303556001,2.418,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,clear-night,Clear,14,66.14,72.3,50.69,,,,42.3,0.42,5,1,7.69,0.09,NA,0,0,-1000,0,1,0,0,0,0,2,4,0,1,2,40,2,2,18,4,16,13190,12,12,15
42,,Unknown Injuries,35.042904,-85.156883,2019-05-14,14:22:27,1-9 Exit 5 Off Ramp Sb,3303580001,2.12,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,clear-night,Clear,14,66.24,72.47,49.76,,,,43.61,0.44,5,1,8.13,0.09,NA,0,0,-1000,0,1,0,0,0,0,,,,,,,,,18,4,14,25210,12,,
43,,No Injuries,35.053186,-85.310716,2019-05-14,14:02:35,325 Broad St,3303561001,0.515,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,clear-night,Clear,14,66.36,72.77,50.82,,,,42.56,0.42,5,1,6.94,0.1,NA,0,0,-1000,0,1,0,0,0,0,2,2,0,1,2,30,6,6,18,4,16,9160,13,36,15
44,,No Injuries,35.042164,-85.220198,2019-05-14,14:02:15,4110 Shallowford Rd,3303578001,3.621,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,clear-night,Clear,14,66.53,72.81,50.86,,,,42.3,0.41,5,1,7.78,0.09,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,1,2,35,4,4,18,4,16,11520,12,42,15
45,,No Injuries,35.013193,-85.280523,2019-05-14,13:37:54,2552 6TH AVENUE CT,330B656001,0.176,CHATTANOOGA,clear-day,Clear,clear-night,Clear,13,65.43,72.74,50.8,,,,43.46,0.45,5,1,7.12,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,7,0,1,2,15,2,2,12,4,19,,,18,15
46,,No Injuries,35.061596,-85.307614,2019-05-14,12:51:04,150 River St,330A231001,0,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,clear-night,Clear,12,64.17,72.89,50.74,,,,42.6,0.45,5,1,6.95,0.1,NA,0,0,-1000,0,1,0,0,0,0,,,,,,,,,,,,,,,
47,,No Injuries,35.012452,-85.213415,2019-05-14,12:30:18,5749 Brainerd Rd,33SR002001,14.741,CHATTANOOGA,partly-cloudy-day,Partly Cloudy,clear-night,Clear,12,63.79,72.66,50.79,,,,43.08,0.47,5,1,7.53,0.09,NA,0,0,-1000,0,1,0,0,0,0,2,2,0,1,2,40,6,6,13,1,14,34380,11,30,15
48,,Delayed,35.028897,-85.156806,2019-05-14,11:55:00,1921 Gunbarrel Rd,330E457001,0.029,CHATTANOOGA,clear-day,Clear,clear-night,Clear,11,61.22,72.42,49.75,,,,45.28,0.56,5,1,6.06,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,0,0,,2,,2,2,12,4,19,,,16,15
49,,No Injuries,35.075849,-85.230994,2019-05-14,11:51:38,3800 - 3999 Bonny Oaks Dr,33SR017001,7.392,CHATTANOOGA,clear-day,Clear,clear-night,Clear,11,62.02,72.47,50.74,,,,44.72,0.53,5,1,5.7,0.1,NA,0,0,-1000,1,0,0,0,0,0,2,4,0,1,2,45,2,2,13,1,14,14260,11,22,15
50,,Delayed,35.043507,-85.14235,2019-05-14,11:48:29,ROYAL FERN TRL / MIN TOM DR,330E471001,0.445,CHATTANOOGA,clear-day,Clear,clear-night,Clear,11,61.16,72.25,49.66,,,,45.29,0.56,5,1,6.19,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,7,0,1,2,20,2,2,12,4,19,,,18,15
51,,No Injuries,35.044563,-85.306585,2019-05-14,11:06:55,200 E Martin Luther King Blvd,3305404001,0.19,CHATTANOOGA,clear-day,Clear,clear-night,Clear,11,62.09,72.88,50.78,,,,44.52,0.53,5,1,5.31,0.1,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,25,4,4,16,4,16,12610,13,40,15
52,,No Injuries,35.129464,-85.283399,2019-05-14,11:01:35,Dayton Blvd / Thueler St,330C673001,0.002,RED BANK,clear-day,Clear,clear-night,Clear,11,62.14,72.33,49.61,,,,44.38,0.52,5,1,7.73,0.1,NA,0,0,-1000,1,0,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,16,15
53,,No Injuries,35.052314,-85.309633,2019-05-14,11:00:58,400 MARKET ST,33SR008001,9.415,CHATTANOOGA,clear-day,Clear,clear-night,Clear,11,62,72.73,50.81,,,,44.48,0.53,5,1,5.33,0.1,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,30,4,4,21,1,16,17840,11,23,15
54,,No Injuries,35.058964,-85.242445,2019-05-14,10:48:23,2000 GREENWOOD RD,3305003001,0.828,CHATTANOOGA,clear-day,Clear,clear-night,Clear,10,59.02,71.99,50.64,,,,46.13,0.62,5,1,6.2,0.1,NA,0,0,-1000,1,0,0,0,0,0,2,7,0,1,2,30,2,2,18,4,17,3000,11,24,15
55,,No Injuries,35.059764,-85.190746,2019-05-14,10:14:12,6039 International Dr,330E654001,0.033,CHATTANOOGA,clear-day,Clear,clear-night,Clear,10,59.35,72.58,50.75,,,,46.26,0.62,5,1,6.34,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,,2,,2,2,12,4,19,,,26,15
56,,No Injuries,35.017611,-85.178462,2019-05-14,10:07:42,350 Interstate 75 Nb,33I0075001,3.492,CHATTANOOGA,clear-day,Clear,clear-night,Clear,10,58.87,72.44,49.79,,,,46.5,0.63,5,1,6.08,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,2,2,0,2,55,7,10,2,1,11,109980,9,48,18
57,,No Injuries,35.034081,-85.107509,2019-05-14,09:31:24,8300 STANDIFER GAP RD,3302154001,0.816,HAMILTON COUNTY,clear-day,Clear,clear-night,Clear,9,54.42,71.12,49.16,,,,46.48,0.74,5,1,6.06,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,7,0,,2,35,2,2,18,2,16,5000,13,22,15
58,,Delayed,35.008047,-85.328467,2019-05-14,09:22:58,100 OCHS HWY,33SR058001,2.168,CHATTANOOGA,clear-day,Clear,clear-night,Clear,9,55.63,72.62,50.26,,,,46.21,0.71,5,1,6.04,0.13,NA,0,0,-1000,1,0,0,0,0,0,2,7,0,1,2,40,2,2,21,1,16,7000,12,22,15
59,,No Injuries,35.044185,-85.3075,2019-05-14,09:06:40,200 E 10TH ST,3303547001,0.661,CHATTANOOGA,clear-day,Clear,clear-night,Clear,9,56.08,72.9,50.77,,,,46.71,0.71,5,1,6.71,0.1,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,1,30,2,2,18,4,17,1750,14,24,15
60,,No Injuries,35.074505,-85.170789,2019-05-14,08:56:39,6350 - 6399 BONNY OAKS DR,33SR317001,2.419,CHATTANOOGA,clear-day,Clear,clear-night,Clear,8,52.44,72.51,50.44,,,,45.52,0.77,5,1,6.57,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,45,2,2,13,1,14,21980,11,24,15
61,,No Injuries,35.056969,-85.316172,2019-05-14,08:50:13,180 Highway 27 Sb,33SR029001,0.171,CHATTANOOGA,clear-day,Clear,clear-night,Clear,8,53.27,73.18,50.79,,,,45.13,0.74,5,1,6.61,0.13,NA,0,0,-1000,1,0,0,0,0,0,2,2,2,1,2,55,6,6,13,1,12,74890,10,36,18
62,,No Injuries,35.07088,-85.118054,2019-05-14,08:18:43,800-869 Interstate 75 Sb,33I0075001,8.555,CHATTANOOGA,clear-day,Clear,clear-night,Clear,8,50.76,71.01,49.04,,,,45.62,0.82,5,1,6.47,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,0,2,0,2,65,8,8,2,1,11,74310,0,48,18
63,,Unknown Injuries,35.065188,-85.126143,2019-05-14,08:18:22,800-869 Interstate 75 Sb,33I0075001,7.957,CHATTANOOGA,clear-day,Clear,clear-night,Clear,8,50.84,71.25,49.13,,,,45.62,0.82,5,1,6.45,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,4,2,0,2,65,8,9,2,1,11,74310,0,48,18
64,,No Injuries,35.161316,-85.211809,2019-05-14,08:11:56,1499 SHELBY CIR,330C946001,0.029,CHATTANOOGA,clear-day,Clear,clear-night,Clear,8,52.66,73.37,49.57,,,,45.64,0.77,5,1,7.81,0.11,NA,0,0,-1000,1,0,0,0,0,0,2,0,0,,2,,2,2,12,4,19,,,16,6
65,,No Injuries,34.993828,-85.248775,2019-05-14,07:50:19,4100-4161 E RIDGE DR,330B940001,0.429,EAST RIDGE,clear-day,Clear,clear-night,Clear,7,50.78,72.33,50.78,,,,45.83,0.83,5,1,5.23,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,7,0,1,2,20,2,2,12,4,19,,,18,15
66,,No Injuries,35.154699,-85.197913,2019-05-14,07:46:31,6310 Hixson Pike,33SR319001,7.834,CHATTANOOGA,clear-day,Clear,clear-night,Clear,7,49.39,72.73,49.39,,,,45.01,0.85,5,1,6.05,0.11,NA,0,0,-1000,1,0,0,0,0,0,2,4,0,1,2,45,4,4,13,1,14,21130,11,24,15
67,,No Injuries,35.154876,-85.198626,2019-05-14,07:45:42,6310 - 6403 Hixson Pike,33SR319001,7.817,CHATTANOOGA,clear-day,Clear,clear-night,Clear,7,49.42,72.84,49.42,,,,45,0.85,5,1,6.05,0.11,NA,0,0,-1000,1,0,0,0,0,0,2,4,0,1,2,45,4,4,13,1,14,21130,11,24,15
68,,No Injuries,34.98793,-85.191295,2019-05-14,07:44:13,6800 RINGGOLD RD,33SR008001,0.241,EAST RIDGE,clear-day,Clear,clear-night,Clear,7,49.8,72.43,49.8,,,,45.46,0.85,5,1,5.33,0.09,NA,0,0.0001,1557824400,1,0,0,0,0,0,2,0,0,1,2,35,4,4,21,1,16,10510,11,24,15
69,,Injuries,35.020581,-85.36582,2019-05-14,07:34:29,Kellys Ferry Rd / Browns Ferry Rd,3303622001,0.019,CHATTANOOGA,clear-day,Clear,clear-night,Clear,7,50.23,73.06,50.23,,,,44.7,0.81,5,1,6.28,0.13,NA,0,0,-1000,1,0,0,0,0,0,2,4,0,1,2,40,4,4,18,4,16,13150,11,24,15
70,,Injuries,35.020581,-85.36582,2019-05-14,07:34:29,Kellys Ferry Rd / Browns Ferry Rd,3303622001,0.019,CHATTANOOGA,clear-day,Clear,clear-night,Clear,7,50.23,73.06,50.23,,,,44.7,0.81,5,1,6.28,0.13,NA,0,0,-1000,1,0,0,0,0,0,2,4,0,1,2,40,4,4,18,4,16,13150,11,24,15
71,,Injuries,35.020581,-85.36582,2019-05-14,07:32:53,Kellys Ferry Rd / Browns Ferry Rd,3303622001,0.019,CHATTANOOGA,clear-day,Clear,clear-night,Clear,7,50.23,73.06,50.23,,,,44.7,0.81,5,1,6.28,0.13,NA,0,0,-1000,1,0,0,0,0,0,2,4,0,1,2,40,4,4,18,4,16,13150,11,24,15
72,,Injuries,35.084709,-85.322991,2019-05-14,07:12:32,176 - 199 Signal Mountain Rd,33SR008001,12.269,RED BANK,clear-day,Clear,clear-night,Clear,7,49.84,72.89,49.84,,,,44.89,0.83,5,1,8.55,0.1,NA,0,0,-1000,1,0,0,0,0,0,2,0,0,1,2,40,3,3,21,1,16,15570,11,12,15
73,,Injuries,35.084709,-85.322991,2019-05-14,07:12:32,176 - 199 Signal Mountain Rd,33SR008001,12.269,RED BANK,clear-day,Clear,clear-night,Clear,7,49.84,72.89,49.84,,,,44.89,0.83,5,1,8.55,0.1,NA,0,0,-1000,1,0,0,0,0,0,2,0,0,1,2,40,3,3,21,1,16,15570,11,12,15
74,,No Injuries,35.049623,-85.311696,2019-05-14,07:12:15,200 W 6TH ST,3303550001,0.408,CHATTANOOGA,clear-day,Clear,clear-night,Clear,7,50.79,72.55,50.79,,,,45.12,0.81,5,1,6.33,0.1,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,35,2,2,18,4,17,3160,13,,
75,,Injuries,35.084595,-85.324828,2019-05-14,06:57:59,200 SIGNAL MOUNTAIN RD,33SR008001,12.37,RED BANK,clear-night,Clear,clear-night,Clear,6,51.01,72.89,49.83,,,,45.14,0.8,5,1,8.33,0.1,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,40,5,5,13,1,14,40720,11,36,15
76,,No Injuries,34.987234,-85.22079,2019-05-14,05:45:21,1618 Waterhouse St,330B878001,0.233,EAST RIDGE,clear-night,Clear,clear-night,Clear,5,52.18,72.48,50.77,,,,46.37,0.81,5,1,3.58,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,0,0,,2,,2,2,12,4,19,,,18,15
77,,No Injuries,35.02983,-85.312853,2019-05-14,03:58:27,17880-17919 Interstate 24 Eb,33I0024002,7.946,CHATTANOOGA,clear-night,Clear,clear-night,Clear,3,54.77,73.05,50.83,,,,46.1,0.73,5,1,4.02,0.13,NA,0,0,-1000,1,0,0,0,0,0,2,2,2,1,2,55,6,8,2,1,11,119490,9,36,18
78,,No Injuries,34.989526,-85.319632,2019-05-14,00:23:57,5235 Central Ave,3304979001,0.542,CHATTANOOGA,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Partly Cloudy,0,66.7,69.08,56.28,,,,57.56,0.72,5,1,5.75,0.56,NA,0,0,-1000,0,1,0,0,0,0,2,7,0,1,2,30,2,2,18,4,17,2200,11,36,15
