Accident,Latitude,Longitude,Hour,Grid_Num,Join_Count,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Clear,Cloudy,DayFrame,DayOfWeek,Foggy,Rain,RainBefore,Snow,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed,visibility,uvIndex,pressure
1.0,34.98311234,-85.39454579,0,5,11.0,2.0,2.0,16.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.39,0.76,0.0002,38.27,3.8,10.0,0,1022.9
1.0,34.98311234,-85.39454579,4,5,11.0,2.0,2.0,16.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.05,30.18,0.82,0.0,35.02,2.92,10.0,0,1023.0
1.0,34.98311234,-85.39454579,8,5,11.0,2.0,2.0,16.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.13,31.01,0.84,0.0,35.37,2.44,10.0,0,1024.1
1.0,34.98311234,-85.39454579,12,5,11.0,2.0,2.0,16.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.02,39.1,0.65,0.0,50.28,2.8,10.0,3,1023.2
1.0,34.98311234,-85.39454579,16,5,11.0,2.0,2.0,16.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.1,38.14,0.46,0.0,58.69,1.86,10.0,1,1019.9
1.0,34.98311234,-85.39454579,20,5,11.0,2.0,2.0,16.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.33,36.47,0.64,0.0,48.01,2.54,10.0,0,1019.7
1.0,34.98311234,-85.39454579,23,5,11.0,2.0,2.0,16.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.59,37.16,0.72,0.0003,45.8,2.61,10.0,0,1018.6
1.0,34.98735687,-85.38719404,0,6,14.0,1.0,3.0,19.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.3,0.76,0.0,38.15,3.69,10.0,0,1023.1
1.0,34.98735687,-85.38719404,4,6,14.0,1.0,3.0,19.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.04,30.14,0.82,0.0,35.16,2.74,10.0,0,1023.1
1.0,34.98735687,-85.38719404,8,6,14.0,1.0,3.0,19.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.1,30.64,0.85,0.0,34.72,2.35,10.0,0,1024.3
1.0,34.98735687,-85.38719404,12,6,14.0,1.0,3.0,19.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.02,39.04,0.66,0.0,49.98,2.78,10.0,3,1023.2
1.0,34.98735687,-85.38719404,16,6,14.0,1.0,3.0,19.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.07,38.02,0.46,0.0,58.81,1.83,10.0,1,1019.8
1.0,34.98735687,-85.38719404,20,6,14.0,1.0,3.0,19.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.33,36.38,0.64,0.0,48.04,2.56,10.0,0,1019.8
1.0,34.98735687,-85.38719404,23,6,14.0,1.0,3.0,19.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.59,37.01,0.71,0.0003,45.76,2.59,10.0,0,1018.6
1.0,34.98311234,-85.36513881,0,7,0.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,30.32,0.74,0.0002,37.83,3.64,10.0,0,1022.8
1.0,34.98311234,-85.36513881,4,7,0.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.04,30.06,0.83,0.0,34.63,2.7,10.0,0,1022.6
1.0,34.98311234,-85.36513881,8,7,0.0,2.0,2.0,19.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.14,31.21,0.87,0.0,34.77,2.32,10.0,0,1023.3
1.0,34.98311234,-85.36513881,12,7,0.0,2.0,2.0,19.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.03,36.6,0.67,0.0,47.0,2.74,10.0,3,1023.1
1.0,34.98311234,-85.36513881,16,7,0.0,2.0,2.0,19.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.09,33.93,0.47,0.0,53.68,1.77,10.0,1,1019.7
1.0,34.98311234,-85.36513881,20,7,0.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.32,34.72,0.68,0.0,44.75,2.58,10.0,0,1019.6
1.0,34.98311234,-85.36513881,23,7,0.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.59,34.97,0.72,0.0003,43.49,2.55,10.0,0,1018.6
1.0,34.98735687,-85.35778706,0,8,3.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,30.04,0.74,0.0002,37.57,3.58,10.0,0,1022.7
1.0,34.98735687,-85.35778706,4,8,3.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.04,29.89,0.83,0.0,34.39,2.63,10.0,0,1022.5
1.0,34.98735687,-85.35778706,8,8,3.0,2.0,2.0,19.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.14,30.94,0.87,0.0,34.48,2.29,10.0,0,1023.2
1.0,34.98735687,-85.35778706,12,8,3.0,2.0,2.0,19.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.03,36.12,0.67,0.0,46.55,2.73,10.0,3,1023.1
1.0,34.98735687,-85.35778706,16,8,3.0,2.0,2.0,19.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.09,33.27,0.47,0.0,53.07,1.74,10.0,1,1019.7
1.0,34.98735687,-85.35778706,20,8,3.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.32,34.06,0.68,0.0,44.13,2.6,10.0,0,1019.7
1.0,34.98735687,-85.35778706,23,8,3.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.59,34.35,0.72,0.0003,42.92,2.53,10.0,0,1018.6
1.0,34.98311234,-85.35043532,0,9,5.0,2.0,3.0,17.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,30.32,0.74,0.0,37.76,3.52,10.0,0,1023.0
1.0,34.98311234,-85.35043532,4,9,5.0,2.0,3.0,17.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.03,30.05,0.83,0.0,34.76,2.46,10.0,0,1022.5
1.0,34.98311234,-85.35043532,8,9,5.0,2.0,3.0,17.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.12,30.94,0.88,0.0,34.15,2.17,10.0,0,1023.4
1.0,34.98311234,-85.35043532,12,9,5.0,2.0,3.0,17.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.03,36.63,0.68,0.0,46.74,2.71,10.0,3,1023.2
1.0,34.98311234,-85.35043532,16,9,5.0,2.0,3.0,17.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.07,33.85,0.46,0.0,53.96,1.7,10.0,1,1019.6
1.0,34.98311234,-85.35043532,20,9,5.0,2.0,3.0,17.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.32,34.68,0.67,0.0,44.84,2.59,10.0,0,1019.6
1.0,34.98311234,-85.35043532,23,9,5.0,2.0,3.0,17.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.59,34.89,0.72,0.0003,43.49,2.52,10.0,0,1018.6
1.0,34.98735687,-85.34308357,0,10,30.0,2.0,3.0,16.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,30.95,0.75,0.0002,38.18,3.51,10.0,0,1022.9
1.0,34.98735687,-85.34308357,4,10,30.0,2.0,3.0,16.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.04,30.38,0.84,0.0,34.73,2.52,10.0,0,1022.7
1.0,34.98735687,-85.34308357,8,10,30.0,2.0,3.0,16.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.15,31.53,0.87,0.0,34.9,2.23,10.0,0,1023.5
1.0,34.98735687,-85.34308357,12,10,30.0,2.0,3.0,16.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.03,37.31,0.67,0.0,47.83,2.7,10.0,3,1023.1
1.0,34.98735687,-85.34308357,16,10,30.0,2.0,3.0,16.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.09,35.78,0.46,0.0,56.07,1.69,10.0,1,1019.7
1.0,34.98735687,-85.34308357,20,10,30.0,2.0,3.0,16.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.32,35.54,0.67,0.0,45.89,2.61,10.0,0,1019.6
1.0,34.98735687,-85.34308357,23,10,30.0,2.0,3.0,16.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.6,35.74,0.72,0.0003,44.33,2.49,10.0,0,1018.7
1.0,34.98311234,-85.33573183,0,11,6.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.35,0.77,0.0,37.97,3.44,10.0,0,1023.2
1.0,34.98311234,-85.33573183,4,11,6.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.03,30.49,0.84,0.0,34.78,2.34,10.0,0,1023.0
1.0,34.98311234,-85.33573183,8,11,6.0,2.0,2.0,19.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.12,31.07,0.87,0.0,34.47,2.1,10.0,0,1024.2
1.0,34.98311234,-85.33573183,12,11,6.0,2.0,2.0,19.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.03,38.54,0.66,0.0,49.44,2.69,10.0,3,1023.2
1.0,34.98311234,-85.33573183,16,11,6.0,2.0,2.0,19.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.07,37.21,0.45,0.0,58.48,1.65,10.0,1,1019.8
1.0,34.98311234,-85.33573183,20,11,6.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.32,36.05,0.65,0.0,47.42,2.61,10.0,0,1019.7
1.0,34.98311234,-85.33573183,23,11,6.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.59,36.64,0.72,0.0003,45.21,2.49,10.0,0,1018.7
1.0,34.98735687,-85.32838008,0,12,37.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.36,0.77,0.0002,37.98,3.43,10.0,0,1022.9
1.0,34.98735687,-85.32838008,4,12,37.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.04,30.14,0.84,0.0,34.46,2.4,10.0,0,1023.0
1.0,34.98735687,-85.32838008,8,12,37.0,2.0,2.0,19.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.16,30.97,0.86,0.0,34.87,2.16,10.0,0,1024.1
1.0,34.98735687,-85.32838008,12,12,37.0,2.0,2.0,19.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.04,38.64,0.65,0.0,49.98,2.67,10.0,3,1023.2
1.0,34.98735687,-85.32838008,16,12,37.0,2.0,2.0,19.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.08,37.14,0.45,0.0,58.55,1.64,10.0,1,1019.9
1.0,34.98735687,-85.32838008,20,12,37.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.32,35.89,0.64,0.0,47.58,2.63,10.0,0,1019.7
1.0,34.98735687,-85.32838008,23,12,37.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.6,36.54,0.71,0.0003,45.21,2.46,10.0,0,1018.7
1.0,34.98311234,-85.32102834,0,13,5.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.26,0.77,0.0,37.93,3.4,10.0,0,1022.9
1.0,34.98311234,-85.32102834,4,13,5.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.04,29.72,0.83,0.0,34.38,2.36,10.0,0,1023.0
1.0,34.98311234,-85.32102834,8,13,5.0,2.0,2.0,19.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.16,30.6,0.84,0.0,34.79,2.13,10.0,0,1024.2
1.0,34.98311234,-85.32102834,12,13,5.0,2.0,2.0,19.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.04,38.73,0.65,0.0,50.21,2.66,10.0,3,1023.2
1.0,34.98311234,-85.32102834,16,13,5.0,2.0,2.0,19.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.08,37.09,0.44,0.0,58.76,1.62,10.0,1,1019.9
1.0,34.98311234,-85.32102834,20,13,5.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.32,35.74,0.63,0.0,47.77,2.63,10.0,0,1019.7
1.0,34.98311234,-85.32102834,23,13,5.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.6,36.37,0.71,0.0003,45.21,2.45,10.0,0,1018.7
1.0,34.98735687,-85.31367659,0,14,17.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.23,0.77,0.0002,37.88,3.35,10.0,0,1022.9
1.0,34.98735687,-85.31367659,4,14,17.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.04,29.64,0.83,0.0,34.3,2.28,10.0,0,1023.0
1.0,34.98735687,-85.31367659,8,14,17.0,2.0,2.0,19.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.16,30.52,0.84,0.0,34.72,2.09,10.0,0,1024.2
1.0,34.98735687,-85.31367659,12,14,17.0,2.0,2.0,19.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.04,38.7,0.64,0.0,50.22,2.65,10.0,3,1023.2
1.0,34.98735687,-85.31367659,16,14,17.0,2.0,2.0,19.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.08,36.96,0.44,0.0,58.79,1.59,10.0,1,1019.9
1.0,34.98735687,-85.31367659,20,14,17.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.32,35.64,0.63,0.0,47.77,2.64,10.0,0,1019.7
1.0,34.98735687,-85.31367659,23,14,17.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.6,36.25,0.71,0.0003,45.16,2.42,10.0,0,1018.7
1.0,34.98311234,-85.30632485,0,15,1.0,,,,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.18,0.77,0.0002,37.85,3.32,10.0,0,1022.9
1.0,34.98311234,-85.30632485,4,15,1.0,,,,1,0,1,0.0,0,0,0,0,1578301200,1,0.04,29.54,0.83,0.0,34.24,2.23,10.0,0,1023.0
1.0,34.98311234,-85.30632485,8,15,1.0,,,,1,0,2,0.0,0,0,0,0,1578315600,1,0.16,30.42,0.84,0.0,34.66,2.05,10.0,0,1024.2
1.0,34.98311234,-85.30632485,12,15,1.0,,,,1,0,3,0.0,0,0,0,0,1578330000,1,0.04,38.67,0.64,0.0,50.28,2.64,10.0,3,1023.2
1.0,34.98311234,-85.30632485,16,15,1.0,,,,1,0,4,0.0,0,0,0,0,1578344400,1,0.08,36.82,0.44,0.0,58.85,1.57,10.0,1,1019.9
1.0,34.98311234,-85.30632485,20,15,1.0,,,,0,1,1,0.0,0,0,0,0,1578358800,1,0.32,35.6,0.62,0.0,47.79,2.56,10.0,0,1019.7
1.0,34.98311234,-85.30632485,23,15,1.0,,,,0,1,1,0.0,0,0,0,0,1578369600,1,0.59,36.14,0.71,0.0003,45.11,2.4,10.0,0,1018.7
1.0,34.98735687,-85.29897311,0,16,9.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.15,0.77,0.0,37.7,3.24,10.0,0,1023.2
1.0,34.98735687,-85.29897311,4,16,9.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.03,29.59,0.82,0.0,34.38,2.02,10.0,0,1023.1
1.0,34.98735687,-85.29897311,8,16,9.0,2.0,2.0,19.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.14,30.28,0.85,0.0,34.19,1.89,10.0,0,1024.3
1.0,34.98735687,-85.29897311,12,16,9.0,2.0,2.0,19.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.04,38.62,0.65,0.0,49.89,2.62,10.0,3,1023.2
1.0,34.98735687,-85.29897311,16,16,9.0,2.0,2.0,19.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.06,36.65,0.43,0.0,59.01,1.49,10.0,1,1019.9
1.0,34.98735687,-85.29897311,20,16,9.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.32,35.51,0.62,0.0,47.73,2.56,10.0,0,1019.7
1.0,34.98735687,-85.29897311,23,16,9.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.59,36.08,0.71,0.0003,45.05,2.36,10.0,0,1018.7
1.0,34.98311234,-85.29162136,0,17,18.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.22,0.77,0.0,37.79,3.24,10.0,0,1023.0
1.0,34.98311234,-85.29162136,4,17,18.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.03,29.66,0.84,0.0,34.12,2.11,10.0,0,1023.0
1.0,34.98311234,-85.29162136,8,17,18.0,2.0,2.0,19.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.17,30.54,0.85,0.0,34.55,1.97,10.0,0,1024.2
1.0,34.98311234,-85.29162136,12,17,18.0,2.0,2.0,19.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.04,38.52,0.64,0.0,50.14,2.61,10.0,3,1023.2
1.0,34.98311234,-85.29162136,16,17,18.0,2.0,2.0,19.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.08,36.56,0.43,0.0,58.75,1.51,10.0,1,1019.9
1.0,34.98311234,-85.29162136,20,17,18.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.32,35.51,0.63,0.0,47.62,2.56,10.0,0,1019.7
1.0,34.98311234,-85.29162136,23,17,18.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.59,36.08,0.71,0.0003,44.97,2.36,10.0,0,1018.7
1.0,34.98735687,-85.28426962,0,18,188.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.25,0.77,0.0,37.79,3.19,10.0,0,1023.0
1.0,34.98735687,-85.28426962,4,18,188.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.03,30.14,0.85,0.0,34.09,2.03,10.0,0,1023.0
1.0,34.98735687,-85.28426962,8,18,188.0,2.0,2.0,19.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.17,30.92,0.87,0.0,34.53,1.92,10.0,0,1024.1
1.0,34.98735687,-85.28426962,12,18,188.0,2.0,2.0,19.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.04,38.17,0.64,0.0,49.7,2.6,10.0,3,1023.2
1.0,34.98735687,-85.28426962,16,18,188.0,2.0,2.0,19.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.07,36.33,0.44,0.0,58.39,1.48,10.0,1,1019.9
1.0,34.98735687,-85.28426962,20,18,188.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.32,35.51,0.64,0.0,47.27,2.55,10.0,0,1019.7
1.0,34.98735687,-85.28426962,23,18,188.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.59,36.0,0.71,0.0002,44.83,2.31,10.0,0,1018.7
1.0,34.98735687,-85.26956613,0,20,45.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.32,0.77,0.0,37.77,3.12,10.0,0,1023.0
1.0,34.98735687,-85.26956613,4,20,45.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.03,30.45,0.87,0.0,33.99,1.89,10.0,0,1022.9
1.0,34.98735687,-85.26956613,8,20,45.0,2.0,2.0,19.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.18,31.08,0.87,0.0,34.43,1.83,10.0,0,1024.0
1.0,34.98735687,-85.26956613,12,20,45.0,2.0,2.0,19.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.05,37.67,0.64,0.0,49.13,2.59,10.0,3,1023.2
1.0,34.98735687,-85.26956613,16,20,45.0,2.0,2.0,19.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.07,35.9,0.44,0.0,57.94,1.43,10.0,1,1019.8
1.0,34.98735687,-85.26956613,20,20,45.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.33,35.56,0.65,0.0,46.87,2.53,10.0,0,1019.7
1.0,34.98735687,-85.26956613,23,20,45.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.6,35.96,0.72,0.0002,44.61,2.25,10.0,0,1018.8
1.0,34.98311234,-85.17399344,0,21,1.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.06,0.78,0.0,37.4,3.41,10.0,0,1023.0
1.0,34.98311234,-85.17399344,4,21,1.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578301200,1,0.02,29.16,0.84,0.0,33.49,1.8,10.0,0,1023.0
1.0,34.98311234,-85.17399344,8,21,1.0,2.0,2.0,19.0,1,0,2,0.0,0,0,0,0,1578315600,1,0.2,30.02,0.85,0.0,34.05,1.88,10.0,0,1024.1
1.0,34.98311234,-85.17399344,12,21,1.0,2.0,2.0,19.0,1,0,3,0.0,0,0,0,0,1578330000,1,0.06,38.02,0.63,0.0,50.21,2.71,10.0,3,1023.2
1.0,34.98311234,-85.17399344,16,21,1.0,2.0,2.0,19.0,1,0,4,0.0,0,0,0,0,1578344400,1,0.07,34.59,0.4,0.0,58.62,1.35,10.0,1,1019.9
1.0,34.98311234,-85.17399344,20,21,1.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578358800,1,0.33,34.81,0.62,0.0,47.14,2.69,10.0,0,1019.7
1.0,34.98311234,-85.17399344,23,21,1.0,2.0,2.0,19.0,0,1,1,0.0,0,0,0,0,1578369600,1,0.61,34.83,0.69,0.0,44.41,2.36,10.0,0,1018.8
1.0,34.98735687,-85.1666417,0,22,3.0,2.0,2.0,19.0,1,0,1,0.0,0,0,0,0,1578286800,1,0.0,31.03,0.78,0.0,37.38,3.44,10.0,0,1023.0
