Address,City,Date,Unix,Hour,DayFrame,Grid_Num,WeekDay,DayOfWeek
7300 IGOU GAP RD,CHATTANOOGA,1/24/2020,1579867200,7,2,195,1,4
2346 Shallowford Village Dr,CHATTANOOGA,1/24/2020,1579881600,11,3,267,1,4
6800 HARVEST RUN DR,HAMILTON COUNTY,1/24/2020,1579863600,6,2,575,1,4
2427 Jenkins Rd,CHATTANOOGA,1/24/2020,1579849200,2,1,270,1,4
2427 Jenkins Rd,CHATTANOOGA,1/24/2020,1579849200,2,1,270,1,4
2427 Jenkins Rd,CHATTANOOGA,1/24/2020,1579849200,2,1,270,1,4
2427 JENKINS RD,CHATTANOOGA,1/24/2020,1579849200,2,1,270,1,4
800 INTERSTATE 75 NB,CHATTANOOGA,1/24/2020,1579878000,10,3,342,1,4
1100 Interstate 75 Sb,CHATTANOOGA,1/24/2020,1579852800,3,1,423,1,4
9001 LEE HWY,CHATTANOOGA,1/24/2020,1579863600,6,2,459,1,4
1150 Interstate 75 Sb,CHATTANOOGA,1/24/2020,1579852800,3,1,459,1,4
8950-8999 LEE HWY,CHATTANOOGA,1/24/2020,1579870800,8,2,459,1,4
8950-8999 LEE HWY,CHATTANOOGA,1/24/2020,1579870800,8,2,459,1,4
8950-8999 LEE HWY,CHATTANOOGA,1/24/2020,1579870800,8,2,459,1,4
8950-8999 LEE HWY,CHATTANOOGA,1/24/2020,1579870800,8,2,459,1,4
8900 LEE HWY,CHATTANOOGA,1/24/2020,1579867200,7,2,459,1,4
1180 - 1329 Interstate 75 Sb,CHATTANOOGA,1/24/2020,1579852800,3,1,460,1,4
1180 INTERSTATE 75 SB,CHATTANOOGA,1/24/2020,1579852800,3,1,460,1,4
3619 ELDER MOUNTAIN RD,CHATTANOOGA,1/24/2020,1579881600,11,3,238,1,4
2133 Cummings Hwy,HAMILTON COUNTY,1/24/2020,1579860000,5,2,130,1,4
2128 CUMMINGS HWY,HAMILTON COUNTY,1/24/2020,1579856400,4,1,130,1,4
2128 Cummings Hwy,HAMILTON COUNTY,1/24/2020,1579856400,4,1,130,1,4
531 Signal Mountain Rd,CHATTANOOGA,1/24/2020,1579863600,6,2,466,1,4
501 Signal Mountain Rd,CHATTANOOGA,1/24/2020,1579845600,1,1,466,1,4
Pineville Rd / Signal Mountain Rd,CHATTANOOGA,1/24/2020,1579885200,12,3,429,1,4
1200-1298 Pineville Rd,CHATTANOOGA,1/24/2020,1579885200,12,3,429,1,4
3600 TENNESSEE AVE,CHATTANOOGA,1/24/2020,1579870800,8,2,93,1,4
17800 INTERSTATE 24 EB,CHATTANOOGA,1/24/2020,1579856400,4,1,173,1,4
17800 INTERSTATE 24 EB,CHATTANOOGA,1/24/2020,1579856400,4,1,173,1,4
Carl White Pl / W 38th St,CHATTANOOGA,1/24/2020,1579852800,3,1,94,1,4
4400 W RD,HAMILTON COUNTY,1/24/2020,1579860000,5,2,597,1,4
1182 Mountain Creek Rd,CHATTANOOGA,1/24/2020,1579852800,3,1,533,1,4
205 Manufacturers Rd,CHATTANOOGA,1/24/2020,1579881600,11,3,316,1,4
205 Manufacturers Rd,CHATTANOOGA,1/24/2020,1579881600,11,3,316,1,4
205 Manufacturers Rd,CHATTANOOGA,1/24/2020,1579881600,11,3,316,1,4
1 - 9 Exit W M L King Blvd W On Ramp Nb,CHATTANOOGA,1/24/2020,1579849200,2,1,245,1,4
70 Highway 27 Sb,CHATTANOOGA,1/24/2020,1579881600,11,3,211,1,4
2501 Market St,CHATTANOOGA,1/24/2020,1579863600,6,2,174,1,4
2501 Broad St,CHATTANOOGA,1/24/2020,1579867200,7,2,174,1,4
N MARKET ST / DALLAS RD,CHATTANOOGA,1/24/2020,1579881600,11,3,355,1,4
301 Market St,CHATTANOOGA,1/24/2020,1579845600,1,1,282,1,4
1609 Long St,CHATTANOOGA,1/24/2020,1579881600,11,3,212,1,4
1910 Market St,CHATTANOOGA,1/24/2020,1579863600,6,2,212,1,4
2500 Market St,CHATTANOOGA,1/24/2020,1579863600,6,2,175,1,4
1113 Liberty St,CHATTANOOGA,1/24/2020,1579852800,3,1,356,1,4
3504 Dayton Blvd,RED BANK,1/24/2020,1579870800,8,2,535,1,4
400 Palmetto St,CHATTANOOGA,1/24/2020,1579852800,3,1,284,1,4
3251 Rossville Blvd,CHATTANOOGA,1/24/2020,1579874400,9,2,98,1,4
1500 Riverside Dr,CHATTANOOGA,1/24/2020,1579856400,4,1,285,1,4
208 Morningside Dr,CHATTANOOGA,1/24/2020,1579874400,9,2,138,1,4
