,Accident,Latitude,Longitude,Date,Time,Address,Route,Log_Mile,City,Event,Conditions,EventBefore,ConditionBefore,Hour,Temperature,Temp_Max,Temp_Min,Monthly_Avg_Temp,Daily_Avg_Temp,Relative_Temp,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Illumination,Operation,Speed_Limit,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,AADT,DHV,Pavement_Width,Pavement_Type,Unix
1588,,35.0336505444,-85.1248955772,2019-03-06,19:44:07,,330E341001,0.019,,clear-night,Clear,clear-night,Clear,19,39.9,43.01,24.05,,,,10.62,0.29,3,2,6.51,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,11,2,19,,,26,15,
1587,,35.0259241953,-85.2694142914,2019-03-06,19:40:58,,330A520001,0.175,,clear-night,Clear,clear-night,Clear,19,40.45,43.74,23.93,,,,10.03,0.28,3,2,5.55,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,30,2,2,12,4,19,,,20,15,
1586,,35.0102489244,-85.1770747434,2019-03-06,19:31:10,,330E409001,0.011,,clear-night,Clear,clear-night,Clear,19,40.61,43.81,24.45,,,,11.12,0.29,3,2,5.77,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,20,15,
1585,,35.0760593856,-85.1512571305,2019-03-06,19:05:57,,330G213001,0,,clear-night,Clear,clear-night,Clear,19,40.49,43.49,23.91,,,,9.69,0.28,3,2,6.8,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1584,,34.9908562355,-85.3158184778,2019-03-06,19:04:20,,330A781001,0.363,,partly-cloudy-night,Partly Cloudy,clear-night,Clear,19,40.41,43.67,23.94,,,,9.99,0.28,3,2,5.37,0.09,snow,0.0001,0.0018,1551862800,0,1,0,0,0,0,,,,,,,,,,,,,,,,
1583,,35.0392463281,-85.2810323989,2019-03-06,19:04:20,,330A713001,0.062,,clear-night,Clear,clear-night,Clear,19,40.74,43.54,23.63,,,,9.47,0.27,3,2,5.81,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1582,,34.9978805813,-85.1428679725,2019-03-06,19:03:01,,330E554001,0.058,,clear-night,Clear,clear-night,Clear,19,40.47,43.65,24.42,,,,11.35,0.3,3,2,6.02,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,26,15,
1581,,35.201385839,-85.2149978385,2019-03-06,19:02:13,,330D026001,0.149,,partly-cloudy-night,Partly Cloudy,clear-night,Clear,19,39.98,43.08,21.84,,,,6.72,0.25,3,2,6.3,0.16,snow,0.0001,0.0018,1551862800,0,1,0,0,0,0,2,7,0,,2,30,2,2,12,4,19,,,26,15,
1580,,35.2531786867,-85.1387927804,2019-03-06,18:13:42,,330D847001,0.707,,partly-cloudy-day,Partly Cloudy,clear-night,Clear,18,43.18,44.37,21.15,,,,8.43,0.24,3,2,9.53,0.18,snow,0.0001,0.0018,1551862800,0,1,0,0,0,0,2,7,0,,2,35,2,2,11,2,19,,,18,15,
1579,,35.1096419415,-85.1640816058,2019-03-06,18:08:10,,330F318001,0.017,,clear-day,Clear,clear-night,Clear,18,42.76,42.84,23.21,,,,7.95,0.23,3,2,8.49,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,11,2,19,,,28,15,
1578,,35.014451374,-85.267787433,2019-03-06,17:58:58,,330B344001,0.086,,clear-day,Clear,clear-night,Clear,17,42.46,43,23.83,,,,7.9,0.24,3,2,7.33,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,1,1,12,4,19,,,10,15,
1577,,35.1963136333,-85.2084362237,2019-03-06,17:51:10,,330G117001,0,,clear-day,Clear,clear-night,Clear,17,43.2,43.2,21.95,,,,8.07,0.23,3,2,8.65,0.16,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1576,,35.1135158886,-85.2808912379,2019-03-06,17:46:59,,330A073001,0.096,,clear-day,Clear,clear-night,Clear,17,42.74,42.76,22.78,,,,7.33,0.23,3,2,8.03,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,18,15,
1575,,35.1632272679,-85.2031355623,2019-03-06,17:42:49,,330F050001,0.614,,clear-day,Clear,clear-night,Clear,17,43.53,43.53,22.38,,,,8.28,0.23,3,2,8.63,0.16,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,0,0,1,2,,2,2,12,4,19,,,24,15,
1574,,35.1541579422,-85.2653421533,2019-03-06,17:41:23,,330C885001,0.348,,clear-day,Clear,clear-night,Clear,17,42.93,42.93,22.18,,,,8.02,0.23,3,2,8.3,0.15,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,14,15,
1573,,35.0058888636,-85.3193364429,2019-03-06,17:30:45,,330A826001,0.215,,clear-day,Clear,clear-night,Clear,17,43.45,43.64,23.91,,,,7.38,0.22,3,2,6.55,0.09,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,0,0,,2,,2,2,12,4,19,,,16,15,
1572,,35.103926846,-85.2799357284,2019-03-06,17:21:22,,330A118001,0.29,,clear-day,Clear,clear-night,Clear,17,44.09,44.22,22.92,,,,7.37,0.22,3,2,8,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,16,15,
1571,,35.035662682,-85.2369224153,2019-03-06,17:16:22,,330B146001,0.611,,clear-day,Clear,clear-night,Clear,17,43.04,43.49,23.81,,,,7.84,0.23,3,2,7.67,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,14,6,
1570,,35.0708173636,-85.059809947,2019-03-06,17:07:21,,330E097001,0.132,,clear-day,Clear,clear-night,Clear,17,42.55,42.62,23.37,,,,8.9,0.25,3,2,8.6,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,1,1,11,2,19,,,12,15,
1569,,34.988272476,-85.2113072252,2019-03-06,17:06:36,,330B866001,0.127,,clear-day,Clear,clear-night,Clear,17,43.65,44.15,24.63,,,,8.07,0.23,3,2,7.49,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,30,2,2,12,4,19,,,18,15,
1568,,35.1587053123,-85.0574185519,2019-03-06,17:04:46,,330D958001,0.128,,clear-day,Clear,clear-night,Clear,17,43.76,43.76,22.73,,,,9.18,0.24,3,2,9.35,0.19,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,30,2,2,11,2,19,,,16,15,
1567,,35.142623524,-85.1934872034,2019-03-06,17:00:43,,330E926001,0,,clear-day,Clear,clear-night,Clear,17,43.09,43.09,22.79,,,,8.33,0.24,3,2,8.65,0.16,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1566,,35.0663356489,-85.3002760805,2019-03-06,16:50:30,,330A228001,0.216,,clear-day,Clear,clear-night,Clear,16,42.49,42.98,23.24,,,,7,0.23,3,2,5.67,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,1,1,12,4,19,,,10,15,
1565,,34.9867436686,-85.3310119928,2019-03-06,16:37:54,,330A747001,0.059,,clear-day,Clear,clear-night,Clear,16,42.86,43.45,23.86,,,,7.37,0.23,3,2,4.92,0.09,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,0,0,,2,,2,2,12,4,19,,,30,15,
1564,,35.0135432555,-85.11055706,2019-03-06,16:32:12,,330F409001,0,,clear-day,Clear,clear-night,Clear,16,41.32,42.54,23.7,,,,7.85,0.25,3,2,6.21,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1563,,35.0099734141,-85.1250808416,2019-03-06,16:29:56,,330E336001,0.161,,clear-day,Clear,clear-night,Clear,16,41.8,43.03,24.25,,,,7.87,0.24,3,2,6.14,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,0,0,,2,35,2,2,12,4,19,,,27,15,
1562,,35.2032546456,-85.0506833935,2019-03-06,16:27:56,,330E114001,1.492,,clear-day,Clear,clear-night,Clear,16,42.4,43.31,22.31,,,,7.96,0.24,3,2,9.14,0.08,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,0,0,,2,,2,2,11,2,19,,,18,15,
1561,,34.989960698,-85.249123602,2019-03-06,16:27:30,,330B954001,0.011,,clear-day,Clear,clear-night,Clear,16,42.52,43.81,24.24,,,,8.07,0.24,3,2,5.53,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,30,2,2,12,4,19,,,28,15,
1560,,35.1835432924,-85.2228052842,2019-03-06,16:20:16,,330D022001,0.291,,clear-day,Clear,clear-night,Clear,16,42.87,43.22,22,,,,7.29,0.23,3,2,8.86,0.15,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,0,0,,2,,2,2,11,2,19,,,16,15,
1559,,35.0693119475,-85.2682430029,2019-03-06,16:15:06,,330A439001,0.127,,clear-day,Clear,clear-night,Clear,16,42.97,43.51,23.41,,,,7,0.22,3,2,5.8,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,25,2,2,12,4,19,,,18,15,
1558,,35.0718165045,-85.284373537,2019-03-06,16:14:07,,330A196001,0.041,,clear-day,Clear,clear-night,Clear,16,42.87,43.32,23.3,,,,6.97,0.22,3,2,5.76,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,24,15,
1557,,35.2016586403,-85.1787421627,2019-03-06,16:12:51,,330D171001,0,,clear-day,Clear,clear-night,Clear,16,42.88,43.78,22.02,,,,7.49,0.23,3,2,8.96,0.17,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1556,,34.9849523238,-85.2730090743,2019-03-06,16:10:58,,3304149001,0.003,,clear-day,Clear,clear-night,Clear,16,41.74,43.06,23.99,,,,8,0.24,3,2,5.41,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,,2,2,18,4,16,4630,12,18,15,
1555,,35.2017989072,-85.1372740013,2019-03-06,16:09:40,,330D895001,0.244,,clear-day,Clear,clear-night,Clear,16,42.88,43.7,22.53,,,,7.78,0.23,3,2,9.51,0.17,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,0,0,,2,30,2,2,12,4,19,,,16,15,
1554,,35.1367249582,-85.2545100392,2019-03-06,16:09:50,,330C843001,0.008,,clear-day,Clear,clear-night,Clear,16,42.75,42.99,22.47,,,,6.91,0.22,3,2,8.63,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,26,15,
1553,,35.1239760683,-85.2813774121,2019-03-06,16:08:47,,330C737001,0.248,,clear-day,Clear,clear-night,Clear,16,42.42,42.66,22.67,,,,6.54,0.22,3,2,8.2,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,25,2,2,12,4,19,,,16,15,
1552,,35.1696785848,-85.2475603076,2019-03-06,16:02:45,,330C951001,0,,clear-day,Clear,clear-night,Clear,16,42.75,43.09,22.03,,,,7.25,0.23,3,2,8.74,0.15,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1551,,35.1178749852,-85.273225332,2019-03-06,15:58:48,,330C823001,0.032,,clear-day,Clear,clear-night,Clear,15,40.74,42.77,22.76,,,,6.67,0.24,3,2,8.49,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,26,15,
1550,,35.1229601216,-85.2768022796,2019-03-06,15:55:27,,330C796001,0.076,,clear-day,Clear,clear-night,Clear,15,40.67,42.68,22.69,,,,6.63,0.24,3,2,8.5,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,25,2,2,12,4,19,,,18,15,
1549,,35.0349196529,-85.2203421921,2019-03-06,15:52:23,,330B127001,0.039,,clear-day,Clear,clear-night,Clear,15,40.99,43.79,23.88,,,,7.89,0.25,3,2,5.89,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,26,15,
1548,,35.0487840121,-85.1252960451,2019-03-06,15:44:29,,330E245001,0.727,,clear-day,Clear,clear-night,Clear,15,39.19,42.57,23.54,,,,7.91,0.27,3,2,6.22,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,30,2,2,11,2,19,,,26,15,
1547,,35.1770735583,-85.0339094717,2019-03-06,15:23:05,,330E154001,0.006,,clear-day,Clear,clear-night,Clear,15,39.25,43.55,22.62,,,,8.22,0.27,3,2,9.24,0.08,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,30,2,2,11,2,19,,,16,15,
1546,,35.0570727962,-85.149906,2019-03-06,15:22:22,,330E495001,0.035,,clear-day,Clear,clear-night,Clear,15,40.43,43.59,24.09,,,,7.82,0.25,3,2,6.2,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,30,2,2,12,4,19,,,26,15,
1545,,35.0422507061,-85.2260683935,2019-03-06,15:22:08,,330B398001,0.126,,clear-day,Clear,clear-night,Clear,15,41,43.72,23.8,,,,7.8,0.25,3,2,5.93,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,28,15,
1544,,35.0573398052,-85.1761287469,2019-03-06,15:04:49,,330D191001,0.012,,clear-day,Clear,clear-night,Clear,15,40.35,43.43,23.67,,,,7.75,0.25,3,2,6.15,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,26,15,
1543,,35.0268869044,-85.0867303035,2019-03-06,15:02:44,,330F381001,0.107,,clear-day,Clear,clear-night,Clear,15,39.33,42.8,23.68,,,,8.1,0.27,3,2,6.25,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,11,2,19,,,26,15,
1542,,35.0451484023,-85.2495939179,2019-03-06,14:50:14,,330B367001,0.261,,clear-day,Clear,clear-night,Clear,14,38.7,43.18,24.37,,,,8.31,0.28,3,2,10,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,25,2,2,12,4,19,,,16,15,
1541,,35.0561180901,-85.2573103646,2019-03-06,14:47:18,,330B542001,0.043,,clear-day,Clear,clear-night,Clear,14,38.69,43.34,23.5,,,,8.04,0.28,3,2,10,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,18,15,
1540,,35.0082362613,-85.2422743264,2019-03-06,14:44:49,,330B746001,0,,clear-day,Clear,clear-night,Clear,14,39.19,43.81,24.14,,,,9.49,0.29,3,2,10,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1539,,34.9960772498,-85.3472925403,2019-03-06,13:43:46,,330C117001,0,,clear-day,Clear,clear-night,Clear,13,31,39.45,21.86,,,,6.92,0.36,3,2,5.19,0.09,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1538,,35.0758263744,-85.3099280847,2019-03-06,13:40:06,,330A315001,0.028,,clear-day,Clear,clear-night,Clear,13,33.31,42.86,23.07,,,,6.55,0.32,3,2,8.21,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,1,1,12,4,19,,,12,6,
1537,,35.0825117386,-85.1735321438,2019-03-06,13:26:12,,330D278001,0.046,,clear-day,Clear,clear-night,Clear,13,33.55,43.01,23.33,,,,7.33,0.33,3,2,6.97,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,26,15,
1536,,34.9899539776,-85.359430805,2019-03-06,12:54:55,,330C158001,0.138,,clear-day,Clear,clear-night,Clear,12,28.65,39.03,21.47,,,,7.11,0.39,3,2,5.04,0.09,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,16,15,
1535,,35.2379946739,-85.1776687792,2019-03-06,12:52:27,,330D665001,0.073,,clear-day,Clear,clear-night,Clear,12,30.61,43.83,21.97,,,,6.22,0.35,3,2,10,0.17,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,1,1,12,4,19,,,10,6,
1534,,35.1718375324,-85.1819196853,2019-03-06,12:51:14,,330F991001,0.037,,clear-day,Clear,clear-night,Clear,12,30.64,43.35,22.29,,,,6.92,0.36,3,2,8.46,0.16,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,11,2,19,,,26,15,
1533,,35.1312917934,-85.2773818264,2019-03-06,12:33:08,,330C676001,0.169,,clear-day,Clear,clear-night,Clear,12,30.49,42.57,22.43,,,,6.45,0.35,3,2,8.38,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,14,15,
1532,,35.1596712084,-85.2626737981,2019-03-06,12:17:50,,330C881001,0.149,,clear-day,Clear,clear-night,Clear,12,30.87,43,22.13,,,,6.6,0.35,3,2,8.75,0.15,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,26,15,
1531,,35.0296430076,-85.3723464728,2019-03-06,12:15:13,,330C061001,0.033,,clear-day,Clear,clear-night,Clear,12,31.48,43.35,23.48,,,,6.79,0.35,3,2,7.06,0.09,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,0,0,1,2,,2,2,12,4,19,,,14,15,
1530,,34.9910401921,-85.3561880109,2019-03-06,12:04:51,,330C160001,0.056,,clear-day,Clear,clear-night,Clear,12,28.51,38.91,21.35,,,,7.13,0.4,3,2,5.04,0.09,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,14,15,
1529,,35.0307167593,-85.2757405952,2019-03-06,12:01:47,,330A476001,0.1,,clear-day,Clear,clear-night,Clear,12,30.87,43.55,23.72,,,,7.65,0.37,3,2,5.8,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,,2,2,12,4,19,,,30,15,
1528,,35.2039195167,-85.1459222016,2019-03-06,11:57:50,,330E978001,0.014,,clear-day,Clear,clear-night,Clear,11,28.05,44.06,22.52,,,,6.78,0.4,3,2,10,0.17,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,26,15,
1527,,35.0916927194,-85.304325909,2019-03-06,11:42:37,,330C774001,0.022,,clear-day,Clear,clear-night,Clear,11,26.69,43,22.98,,,,6.8,0.42,3,2,7.29,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,1,1,12,4,19,,,12,6,
1526,,35.2531427384,-85.1404500758,2019-03-06,11:39:47,,330G138001,0.383,,clear-day,Clear,clear-night,Clear,11,28.33,44.37,21.13,,,,6.48,0.39,3,2,10,0.18,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1525,,35.0417015652,-85.1088367665,2019-03-06,11:42:30,,330F449001,0.064,,clear-day,Clear,clear-night,Clear,11,27.96,42.68,23.65,,,,7.98,0.42,3,2,5.82,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,11,2,19,,,26,15,
1524,,35.0935694128,-85.0886040008,2019-03-06,11:32:01,,330E859001,0,,clear-day,Clear,clear-night,Clear,11,28.06,42.85,23.36,,,,7.8,0.42,3,2,6.75,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1523,,34.9923732347,-85.2844374143,2019-03-06,11:25:20,,330A914001,0,,clear-day,Clear,clear-night,Clear,11,27.91,43.71,24.11,,,,8.03,0.42,3,2,2.89,0,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1522,,35.0038972613,-85.3135614709,2019-03-06,10:40:11,,330A812001,0,,clear-day,Clear,clear-night,Clear,10,25.47,43.73,23.95,,,,6.83,0.44,3,2,3.3,0.09,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1521,,35.0301632822,-85.0586179522,2019-03-06,10:35:30,,330E052001,0,,clear-day,Clear,clear-night,Clear,10,25.52,42.29,23.54,,,,8.02,0.47,3,2,4.6,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1520,,35.0337613153,-85.26620137,2019-03-06,10:04:44,,330A675001,0,,clear-day,Clear,clear-night,Clear,10,25.37,43.52,23.7,,,,7,0.45,3,2,3.28,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,,,,,,,,,,,,,,,,
1519,,35.2180598492,-85.1504728301,2019-03-06,08:57:10,,330D896001,0.277,,clear-day,Clear,clear-night,Clear,8,22.49,43.67,22.26,,,,8.07,0.53,3,2,9.39,0.17,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,,2,,2,2,11,2,19,,,18,15,
1518,,35.0055042197,-84.9974004437,2019-03-06,08:56:11,,330D945001,0.365,,clear-day,Clear,clear-night,Clear,8,23.29,41.75,23.29,,,,10.45,0.57,3,2,5.98,0.03,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,0,0,,2,30,2,2,11,2,9,,,14,6,
1517,,35.0471001398,-85.2939886585,2019-03-06,08:56:03,,330A361001,0.255,,clear-day,Clear,clear-night,Clear,8,23.62,43.62,23.59,,,,9.43,0.54,3,2,3.49,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,25,2,2,12,4,19,,,30,15,
1516,,35.0753329592,-85.2905204451,2019-03-06,08:49:36,,330A205001,0.098,,clear-day,Clear,clear-night,Clear,8,23.23,43.12,23.17,,,,9.12,0.54,3,2,3.68,0.04,snow,0.0001,0.0018,1551862800,1,0,0,0,0,0,2,7,0,1,2,,1,1,12,4,19,,,12,6,
